Refactoring Type	Source Entity	Target Class	Entity Placement	Rate it!
Move Method	org.apache.tools.ant.filters.LineContains::addConfiguredContains(org.apache.tools.ant.filters.LineContains.Contains):void	org.apache.tools.ant.filters.LineContains.Contains	0.8806184662909904	
Move Method	org.apache.tools.ant.filters.ReplaceTokens::addConfiguredToken(org.apache.tools.ant.filters.ReplaceTokens.Token):void	org.apache.tools.ant.filters.ReplaceTokens.Token	0.8806213775644826	
Move Method	org.apache.tools.ant.types.FileList::addConfiguredFile(org.apache.tools.ant.types.FileList.FileName):void	org.apache.tools.ant.types.FileList.FileName	0.8806264101883098	
Move Method	org.apache.tools.ant.filters.StripLineComments::addConfiguredComment(org.apache.tools.ant.filters.StripLineComments.Comment):void	org.apache.tools.ant.filters.StripLineComments.Comment	0.8806328664523011	
Move Method	org.apache.tools.ant.types.optional.depend.ClassfileSet::addConfiguredRoot(org.apache.tools.ant.types.optional.depend.ClassfileSet.ClassRoot):void	org.apache.tools.ant.types.optional.depend.ClassfileSet.ClassRoot	0.880672073760091	
Move Method	org.apache.tools.ant.taskdefs.SubAnt::addConfiguredTarget(org.apache.tools.ant.taskdefs.Ant.TargetElement):void	org.apache.tools.ant.taskdefs.Ant.TargetElement	0.8806864143072033	
Move Method	org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff::writeTagEntry(org.w3c.dom.Document, java.io.PrintWriter, org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry):void	org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry	0.8806987008216043	
Move Method	org.apache.tools.ant.taskdefs.optional.junit.JUnitTask::preConfigure(org.apache.tools.ant.taskdefs.optional.junit.BaseTest):void	org.apache.tools.ant.taskdefs.optional.junit.BaseTest	0.8807081988776326	
Move Method	org.apache.tools.ant.taskdefs.optional.junit.JUnitTask::actOnTestResult(org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.TestResultHolder, org.apache.tools.ant.taskdefs.optional.junit.JUnitTest, java.lang.String):void	org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.TestResultHolder	0.8807278968373106	
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo::classesToGenerate():java.lang.String[]	org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.Classname	0.8807434223820028	
Move Method	org.apache.tools.ant.taskdefs.Available::checkFile(java.io.File, java.lang.String):boolean	org.apache.tools.ant.taskdefs.Available.FileDir	0.8807670117600013	
Move Method	org.apache.tools.ant.taskdefs.optional.depend.Depend::warnOutOfDateButNotDeleted(org.apache.tools.ant.taskdefs.optional.depend.Depend.ClassFileInfo, java.lang.String, java.lang.String):void	org.apache.tools.ant.taskdefs.optional.depend.Depend.ClassFileInfo	0.8807691832784219	
Move Method	org.apache.tools.ant.types.XMLCatalog::urlLookup(org.apache.tools.ant.types.ResourceLocation):org.xml.sax.InputSource	org.apache.tools.ant.types.ResourceLocation	0.8807836032687419	
Move Method	org.apache.tools.ant.types.XMLCatalog::filesystemLookup(org.apache.tools.ant.types.ResourceLocation):org.xml.sax.InputSource	org.apache.tools.ant.types.ResourceLocation	0.8807886531431244	
Move Method	org.apache.tools.ant.util.ConcatResourceInputStream::logConcatResourceInputStream(java.lang.String, int):void	org.apache.tools.ant.ProjectComponent	0.8807909532509866	
Move Method	org.apache.tools.ant.util.ConcatFileInputStream::logConcatFileInputStream(java.lang.String, int):void	org.apache.tools.ant.ProjectComponent	0.8807909546607957	
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool::getJarBaseName(java.lang.String):java.lang.String	org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.Config	0.8807932857339924	
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo::sourceClassesModified(java.io.File):long	org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.Classname	0.8807935659188135	
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.EjbJar::validateConfig():void	org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.Config	0.8807945893761018	
Move Method	org.apache.tools.bzip2.CBZip2OutputStream::mainQSort3(org.apache.tools.bzip2.CBZip2OutputStream.Data, int, int, int):void	org.apache.tools.bzip2.CBZip2OutputStream.Data	0.8807996304657387	
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc::buildArgumentList(org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo):java.lang.String[]	org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo	0.8808006380068352	
Move Method	org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter::printEntry(org.w3c.dom.Document, java.io.PrintWriter, org.apache.tools.ant.taskdefs.cvslib.CVSEntry):void	org.apache.tools.ant.taskdefs.cvslib.CVSEntry	0.8808014262118611	
Move Method	org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter::setupRmicCommand(java.lang.String[]):org.apache.tools.ant.types.Commandline	org.apache.tools.ant.taskdefs.Rmic	0.880802686663922	
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool::getManifestFile(java.lang.String):java.io.File	org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.Config	0.880803213188111	
Move Method	org.apache.tools.ant.util.LeadPipeInputStream::logLeadPipeInputStream(java.lang.String, int):void	org.apache.tools.ant.ProjectComponent	0.8808056872768686	
Move Method	org.apache.tools.ant.taskdefs.optional.ccm.Continuus::run(org.apache.tools.ant.types.Commandline, org.apache.tools.ant.taskdefs.ExecuteStreamHandler):int	org.apache.tools.ant.types.Commandline	0.8808121981977407	
Move Method	org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner::accountForIncludedDir(java.lang.String, org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner.AntFTPFile, boolean):void	org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner.AntFTPFile	0.8808150555269408	
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.EjbJar::createSupport():org.apache.tools.ant.types.FileSet	org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.Config	0.8808159484655305	
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.EjbJar::setManifest(java.io.File):void	org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.Config	0.8808159484655305	
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.EjbJar::setDependency(java.lang.String):void	org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.Config	0.8808159484655305	
