Refactoring Type	Source Entity	Target Class	Entity Placement	Rate it!
Move Method	org.apache.jmeter.timers.ConstantThroughputTimer::calculateSharedDelay(org.apache.jmeter.timers.ConstantThroughputTimer.ThroughputInfo, long):long	org.apache.jmeter.timers.ConstantThroughputTimer.ThroughputInfo	0.8909115167475155	
Move Method	org.apache.jmeter.visualizers.RespTimeGraphVisualizer::makeGraph():void	org.apache.jmeter.visualizers.RespTimeGraphChart	0.8909485970727844	
Move Method	org.apache.jmeter.reporters.ResultSaver::processSample(org.apache.jmeter.samplers.SampleResult, org.apache.jmeter.reporters.ResultSaver.Counter):void	org.apache.jmeter.reporters.ResultSaver.Counter	0.8909730153263796	
Move Method	org.apache.jmeter.protocol.http.parser.HtmlParserHTMLParser::parseNodes(org.htmlparser.util.NodeIterator, org.apache.jmeter.protocol.http.parser.HtmlParserHTMLParser.URLPointer, org.apache.jmeter.protocol.http.parser.URLCollection):void	org.apache.jmeter.protocol.http.parser.HtmlParserHTMLParser.URLPointer	0.8909924203207771	
Move Method	org.apache.jmeter.services.FileServer::createBufferedWriter(org.apache.jmeter.services.FileServer.FileEntry):java.io.BufferedWriter	org.apache.jmeter.services.FileServer.FileEntry	0.8909992364565126	
Move Method	org.apache.jmeter.services.FileServer::createBufferedReader(org.apache.jmeter.services.FileServer.FileEntry):java.io.BufferedReader	org.apache.jmeter.services.FileServer.FileEntry	0.8910052179268183	
Move Method	org.apache.jmeter.protocol.http.parser.JsoupBasedHtmlParser.JMeterNodeVisitor::extractAttribute(org.jsoup.nodes.Element, java.lang.String):void	org.apache.jmeter.protocol.http.parser.JsoupBasedHtmlParser.URLPointer	0.8910343631122797	
Move Method	org.apache.jmeter.protocol.http.sampler.HTTPHC4Impl::setConnectionAuthorization(org.apache.http.client.HttpClient, java.net.URL, org.apache.jmeter.protocol.http.control.AuthManager, org.apache.jmeter.protocol.http.sampler.HTTPHC4Impl.HttpClientKey):void	org.apache.jmeter.protocol.http.sampler.HTTPHC4Impl.HttpClientKey	0.8910508940542232	
Move Method	org.apache.jmeter.threads.JMeterThread::notifyListeners(java.util.List<org.apache.jmeter.samplers.SampleListener>, org.apache.jmeter.samplers.SampleResult):void	org.apache.jmeter.threads.ListenerNotifier	0.8910524920481687	
Move Method	org.apache.jmeter.protocol.http.control.HC3CookieHandler::makeCookie(org.apache.jmeter.protocol.http.control.Cookie):org.apache.commons.httpclient.Cookie	org.apache.jmeter.protocol.http.control.Cookie	0.8910551970979143	
Move Method	org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser.JMeterTagVisitor::extractAttribute(jodd.lagarto.Tag, java.lang.String):void	org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser.URLPointer	0.8910553345095671	
Move Method	org.apache.jmeter.protocol.http.control.HC4CookieHandler::makeCookie(org.apache.jmeter.protocol.http.control.Cookie):org.apache.http.cookie.Cookie	org.apache.jmeter.protocol.http.control.Cookie	0.8910566014036103	
Move Method	org.apache.jmeter.protocol.http.util.HTTPResultConverter::saveSamplerData(com.thoughtworks.xstream.io.HierarchicalStreamWriter, com.thoughtworks.xstream.converters.MarshallingContext, org.apache.jmeter.protocol.http.sampler.HTTPSampleResult, org.apache.jmeter.samplers.SampleSaveConfiguration):void	org.apache.jmeter.protocol.http.sampler.HTTPSampleResult	0.8910687834930349	
Move Method	org.apache.jmeter.services.FileServer::closeFile(java.lang.String, org.apache.jmeter.services.FileServer.FileEntry):void	org.apache.jmeter.services.FileServer.FileEntry	0.8910719029745515	
Move Method	org.apache.jmeter.gui.action.template.TemplateManager::addTemplate(org.apache.jmeter.gui.action.template.Template):void	org.apache.jmeter.gui.action.template.Template	0.8910762396989365	
Move Method	org.apache.jmeter.save.converters.SampleResultConverter::retrieveAttributes(com.thoughtworks.xstream.io.HierarchicalStreamReader, com.thoughtworks.xstream.converters.UnmarshallingContext, org.apache.jmeter.samplers.SampleResult):void	org.apache.jmeter.samplers.SampleResult	0.8910781297038448	
Move Method	org.apache.jmeter.gui.AbstractScopedJMeterGuiComponent::showScopeSettings(org.apache.jmeter.testelement.AbstractScopedTestElement, boolean):void	org.apache.jmeter.testelement.AbstractScopedTestElement	0.891079209930471	
Move Method	org.apache.jmeter.assertions.CompareAssertionResult::getBaseResult():java.lang.String	org.apache.jmeter.assertions.CompareAssertionResult.ResultHolder	0.8910825873297746	
Move Method	org.apache.jmeter.assertions.CompareAssertionResult::getSecondaryResult():java.lang.String	org.apache.jmeter.assertions.CompareAssertionResult.ResultHolder	0.8910825873297746	
Move Method	org.apache.jmeter.visualizers.SplineModel::getSample(int):long	org.apache.jmeter.visualizers.CachingStatCalculator	0.8910834491418987	
Move Method	org.apache.jmeter.protocol.http.util.HTTPResultConverter::retrieveHTTPItem(com.thoughtworks.xstream.io.HierarchicalStreamReader, org.apache.jmeter.protocol.http.sampler.HTTPSampleResult, java.lang.Object):void	org.apache.jmeter.protocol.http.sampler.HTTPSampleResult	0.8910835136822071	
Move Method	org.apache.jmeter.save.converters.SampleResultConverter::setAttributes(com.thoughtworks.xstream.io.HierarchicalStreamWriter, com.thoughtworks.xstream.converters.MarshallingContext, org.apache.jmeter.samplers.SampleResult, org.apache.jmeter.samplers.SampleSaveConfiguration):void	org.apache.jmeter.samplers.SampleResult	0.891085126501313	
Move Method	org.apache.commons.cli.avalon.CLArgsParser::getOptionDescription(org.apache.commons.cli.avalon.CLOptionDescriptor):java.lang.String	org.apache.commons.cli.avalon.CLOptionDescriptor	0.8910854788448755	
Move Method	org.apache.jmeter.protocol.ftp.sampler.FTPSampler::getLabel():java.lang.String	org.apache.jmeter.testelement.AbstractTestElement	0.8910884235350516	
Move Method	org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui::configureFromWSDL():void	org.apache.jmeter.protocol.http.util.WSDLHelper	0.8910889487426492	
Move Method	org.apache.jmeter.protocol.http.modifier.URLRewritingModifier::modify(org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase, java.lang.String):void	org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase	0.8910911255433028	
Move Method	org.apache.jmeter.threads.ThreadGroup::scheduleThread(org.apache.jmeter.threads.JMeterThread, long):void	org.apache.jmeter.threads.JMeterThread	0.8910916197258207	
Move Method	org.apache.commons.cli.avalon.CLArgsParser::getStateFor(org.apache.commons.cli.avalon.CLOptionDescriptor):int	org.apache.commons.cli.avalon.CLOptionDescriptor	0.8910916830991347	
Move Method	org.apache.jmeter.protocol.http.config.gui.UrlConfigGui::noData(int):boolean	org.apache.jmeter.protocol.http.gui.HTTPArgumentsPanel	0.8910933739439922	
Move Method	org.apache.jmeter.protocol.http.config.gui.UrlConfigGui::canConvertParameters():boolean	org.apache.jmeter.protocol.http.gui.HTTPArgumentsPanel	0.8910976672302455	
Move Method	org.apache.jmeter.protocol.http.proxy.DefaultSamplerCreator::computeFromPostBody(org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase, org.apache.jmeter.protocol.http.proxy.HttpRequestHdr):void	org.apache.jmeter.protocol.http.proxy.HttpRequestHdr	0.8910978570776922	
Move Method	org.apache.jmeter.visualizers.MonitorModel::getTimestampString():java.lang.String	org.apache.jmeter.testelement.AbstractTestElement	0.8910983242358205	
Move Method	org.apache.jmeter.gui.ReportGuiPackage::getReplacer():org.apache.jmeter.report.engine.ValueReplacer	org.apache.jmeter.report.gui.tree.ReportTreeModel	0.891099996805112	
Move Method	org.apache.jmeter.testelement.AbstractChart::getValue(org.apache.jmeter.visualizers.SamplingStatCalculator):double	org.apache.jmeter.visualizers.SamplingStatCalculator	0.8911018279841209	
Move Method	org.apache.jmeter.gui.util.FileListPanel::getFiles():java.lang.String[]	org.apache.jorphan.gui.ObjectTableModel	0.8911022331226061	
Move Method	org.apache.jmeter.gui.util.FileListPanel::setFiles(java.lang.String[]):void	org.apache.jorphan.gui.ObjectTableModel	0.8911022331610505	
Move Method	org.apache.jmeter.save.converters.SampleResultConverter::retrieveItem(com.thoughtworks.xstream.io.HierarchicalStreamReader, com.thoughtworks.xstream.converters.UnmarshallingContext, org.apache.jmeter.samplers.SampleResult, java.lang.Object):boolean	org.apache.jmeter.samplers.SampleResult	0.8911028698882477	
Move Method	org.apache.jmeter.protocol.http.gui.CookiePanel::populateTable(org.apache.jmeter.protocol.http.control.CookieManager):void	org.apache.jmeter.gui.util.PowerTableModel	0.8911031470426016	
Move Method	org.apache.jmeter.threads.JMeterThread::notifyTestListeners():void	org.apache.jmeter.threads.JMeterVariables	0.891103958439195	
Move Method	org.apache.jmeter.protocol.http.proxy.gui.ProxyControlGui::populateTable(org.apache.jmeter.gui.util.PowerTableModel, org.apache.jmeter.testelement.property.PropertyIterator):void	org.apache.jmeter.gui.util.PowerTableModel	0.8911046772703726	
Move Method	org.apache.jmeter.visualizers.SamplingStatCalculator::getEndTime(org.apache.jmeter.samplers.SampleResult):long	org.apache.jmeter.visualizers.Sample	0.8911049655846011	
Move Method	org.apache.jmeter.gui.GuiPackage::getReplacer():org.apache.jmeter.engine.util.ValueReplacer	org.apache.jmeter.gui.tree.JMeterTreeModel	0.8911051228620644	
Move Method	org.apache.jmeter.gui.AbstractScopedJMeterGuiComponent::saveScopeSettings(org.apache.jmeter.testelement.AbstractScopedTestElement):void	org.apache.jmeter.util.ScopePanel	0.8911063433331599	
Move Method	org.apache.jmeter.modifiers.CounterConfig::formatNumber(long):java.lang.String	org.apache.jmeter.testelement.AbstractTestElement	0.8911065035136094	
Move Method	org.apache.jmeter.protocol.http.proxy.Proxy::messageResponseHeaders(org.apache.jmeter.samplers.SampleResult):java.lang.String	org.apache.jmeter.samplers.SampleResult	0.8911066155013158	
Move Method	org.apache.jmeter.gui.MainFrame::makeTree(javax.swing.tree.TreeModel, org.apache.jmeter.gui.tree.JMeterTreeListener):javax.swing.JTree	org.apache.jmeter.gui.tree.JMeterTreeListener	0.8911067247416732	
Move Method	org.apache.jmeter.control.ForeachController::getReturnVal():java.lang.String	org.apache.jmeter.testelement.AbstractTestElement	0.8911067682873556	
Move Method	org.apache.jmeter.protocol.http.sampler.HTTPSampler2::setSavedClient(org.apache.commons.httpclient.HttpClient):void	org.apache.jmeter.protocol.http.sampler.HTTPHC3Impl	0.8911069104554149	
Move Method	org.apache.jmeter.protocol.http.util.HTTPArgument::getEncodedName():java.lang.String	org.apache.jmeter.testelement.AbstractTestElement	0.8911074121126005	
Move Method	org.apache.jmeter.gui.util.PowerTableModel::setRowValues(int, java.lang.Object[]):void	org.apache.jorphan.collections.Data	0.8911075446791002	
Move Method	org.apache.jmeter.extractor.RegexExtractor::saveGroups(org.apache.jmeter.threads.JMeterVariables, java.lang.String, org.apache.oro.text.regex.MatchResult):void	org.apache.jmeter.threads.JMeterVariables	0.8911083470965478	
Move Method	org.apache.jmeter.visualizers.SamplingStatCalculator::getErrorPercentage():double	org.apache.jmeter.visualizers.Sample	0.8911083606081917	
Move Method	org.apache.jmeter.visualizers.SamplingStatCalculator::getRate():double	org.apache.jmeter.visualizers.Sample	0.8911086943959559	
