org.argouml.profile.internal.ProfileUML	private void loadWellFormednessRules() 	critics	B1	0/63
org.argouml.ui.FindDialog	private void initNameLocTab() 	c	B1	0/42
org.argouml.uml.cognitive.critics.ProfileCodeGeneration	private void loadCritics() 	critics	B1	0/37
org.argouml.moduleloader.ModuleLoader2	private void doInternal(boolean) 	LOG	B1	0/28
org.argouml.moduleloader.ModuleLoader2	private void doInternal(boolean) 	moduleStatus	B1	0/28
org.argouml.moduleloader.ModuleLoader2	private void doInternal(boolean) 	someModuleSucceeded	B1	0/28
org.argouml.ui.SettingsTabPreferences	private void buildPanel() 	topPanel	B1	0/26
org.argouml.uml.diagram.ui.TabDiagram	private void select(java.lang.Object[]) 	figList	B1	0/24
org.argouml.uml.diagram.ui.TabDiagram	private void select(java.lang.Object[]) 	figList	B2	0/22
org.argouml.uml.diagram.ui.TabDiagram	private void select(java.lang.Object[]) 	figList	B3	0/21
org.argouml.uml.diagram.ui.TabDiagram	private void select(java.lang.Object[]) 	figList	B4	0/20
org.argouml.uml.diagram.ui.TabDiagram	private void select(java.lang.Object[]) 	figList	B17	0/2
org.argouml.ui.MenuBar14	protected void initMenuCreate() 	deploymentDiagram	B1	0/21
org.argouml.ui.MenuBar2	protected void initMenuCreate() 	deploymentDiagram	B1	0/21
org.argouml.uml.ui.UMLTreeCellRenderer	public java.awt.Component getTreeCellRendererComponent(javax.swing.JTree, java.lang.Object, boolean, boolean, boolean, int, boolean) 	lab	B4	0/21
org.argouml.moduleloader.ModuleLoader2	private void processJarFile(java.lang.ClassLoader, java.io.File) throws java.lang.ClassNotFoundException	LOG	B1	0/20
org.argouml.uml.cognitive.critics.CrWrongDepEnds	public ListSet#RAW computeOffenders(org.argouml.uml.diagram.deployment.ui.UMLDeploymentDiagram) 	count	B7	0/20
org.argouml.uml.cognitive.critics.ProfileGoodPractices	private void loadCritics() 	critics	B1	0/20
org.argouml.ui.explorer.rules.GoClassToNavigableClass	public Collection#RAW getChildren(java.lang.Object) 	it	B5	0/20
org.argouml.ui.explorer.rules.GoClassToNavigableClass	public Collection#RAW getChildren(java.lang.Object) 	it	B6	0/19
org.argouml.moduleloader.ModuleLoader2	private void processJarFile(java.lang.ClassLoader, java.io.File) throws java.lang.ClassNotFoundException	loadedClass	B1	0/20
org.argouml.moduleloader.ModuleLoader2	private void processJarFile(java.lang.ClassLoader, java.io.File) throws java.lang.ClassNotFoundException	loadedClass	B3	0/11
org.argouml.notation.providers.uml.AbstractMessageNotationUml	private void printDebugInfo(java.lang.String, java.lang.String, java.lang.StringBuilder, java.lang.String, java.lang.StringBuilder, List<List#RAW>, List<java.lang.Integer>, boolean, boolean) 	LOG	B2	0/20
org.argouml.notation.providers.uml.AbstractMessageNotationUml	private void printDebugInfo(java.lang.String, java.lang.String, java.lang.StringBuilder, java.lang.String, java.lang.StringBuilder, List<List#RAW>, List<java.lang.Integer>, boolean, boolean) 	LOG	B3	0/17
org.argouml.notation.providers.uml.AbstractMessageNotationUml	private void printDebugInfo(java.lang.String, java.lang.String, java.lang.StringBuilder, java.lang.String, java.lang.StringBuilder, List<List#RAW>, List<java.lang.Integer>, boolean, boolean) 	LOG	B7	0/13
org.argouml.notation.providers.uml.AbstractMessageNotationUml	private void printDebugInfo(java.lang.String, java.lang.String, java.lang.StringBuilder, java.lang.String, java.lang.StringBuilder, List<List#RAW>, List<java.lang.Integer>, boolean, boolean) 	LOG	B8	0/11
