org.argouml.sequence2.diagram.FigMessage	protected void updateListeners(java.lang.Object, java.lang.Object) 	listeners	B1	0/6
org.argouml.sequence2.diagram.FigMessage	public Vector#RAW getPopUpActions(java.awt.event.MouseEvent) 	index	B2	0/6
org.argouml.sequence2.diagram.ModeBroomMessages	public void mouseDragged(java.awt.event.MouseEvent) 	crY	B1	0/4
org.argouml.sequence2.diagram.ModeCreateMessage	private void ensureSpace(org.argouml.sequence2.diagram.FigMessage) 	heightPlusGap	B1	0/4
org.argouml.sequence2.diagram.ModeCreateMessage	private void ensureSpace(org.argouml.sequence2.diagram.FigMessage) 	heightPlusGap	B4	0/4
org.argouml.sequence2.diagram.SequenceDiagramRenderer	protected org.tigris.gef.presentation.FigNode getFigNodeForAssociationEnd(org.argouml.uml.diagram.ArgoDiagram, java.lang.Object) 	element	B1	0/4
org.argouml.model.InitializeModel	private static org.argouml.model.ModelImplementation initializeModelImplementation(java.lang.String) 	implType	B1	0/3
org.argouml.sequence2.diagram.FigMessage	private synchronized void updateActivations() 	source	B1	0/3
org.argouml.sequence2.diagram.SequenceDiagramGraphModel	public void setCollaboration(java.lang.Object) 	interactions	B1	0/3
org.argouml.sequence2.diagram.TestSequenceDiagramFactory	public void testCreateDiagram() 	col	B1	0/3
org.argouml.sequence2.diagram.UMLSequenceDiagram	public org.argouml.uml.diagram.DiagramElement createDiagramElement(java.lang.Object, java.awt.Rectangle) 	LOG	B8	0/3
org.argouml.sequence2.diagram.FigMessage	private synchronized void updateActivations() 	dest	B4	0/3
org.argouml.sequence2.diagram.SequenceDiagramGraphModel	private java.lang.Object createMessage1(java.lang.Object, java.lang.Object, java.lang.Object) 	associationRole	B15	0/3
org.argouml.sequence2.TestSequenceDiagramModule	protected void setUp() throws java.lang.Exception	theModule	B1	0/2
org.argouml.sequence2.diagram.UMLSequenceDiagram	public void postLoad() 	correctInteraction	B1	2/10
org.argouml.sequence2.diagram.UMLSequenceDiagram	public void postLoad() 	correctInteraction	B2	0/7
org.argouml.sequence2.diagram.UMLSequenceDiagram	public void postLoad() 	correctInteraction	B3	0/6
org.argouml.sequence2.diagram.UMLSequenceDiagram	public void postLoad() 	correctInteraction	B4	0/4
org.argouml.sequence2.diagram.SelectionMessage	private void handleMovement() 	dest	B1	1/5
org.argouml.sequence2.diagram.SelectionMessage	private void handleMovement() 	dest	B6	0/3
org.argouml.sequence2.diagram.SelectionClassifierRole	public void dragHandle(int, int, int, int, org.tigris.gef.presentation.Handle) 	minimumHeight	B1	1/5
org.argouml.sequence2.diagram.SelectionClassifierRole	public void dragHandle(int, int, int, int, org.tigris.gef.presentation.Handle) 	minimumHeight	B3	1/5
org.argouml.sequence2.diagram.SelectionClassifierRole	public void dragHandle(int, int, int, int, org.tigris.gef.presentation.Handle) 	minimumHeight	B4	0/3
