org.argouml.core.propertypanels.ui.UMLValueSpecificationValueFieldOpaqueExpressionDialog	private void buildFirstPanel() 	contentPanel	B1	0/47
org.argouml.core.propertypanels.model.GetterSetterManagerImpl.ParameterDirectionGetterSetter	public void set(java.lang.Object, java.lang.Object) 	kind	B1	0/11
org.argouml.core.propertypanels.ui.UMLCallActionOperationComboBoxModel	protected void buildModelList() 	i	B7	0/9
org.argouml.core.propertypanels.ui.UMLCallActionOperationComboBoxModel	protected void buildModelList() 	i	B8	0/7
org.argouml.core.propertypanels.model.GetterSetterManagerImpl.VisibilityGetterSetter	public void set(java.lang.Object, java.lang.Object) 	kind	B1	0/8
org.argouml.core.propertypanels.ui.UMLComponentInstanceClassifierComboBoxModel	protected void buildModelList() 	list	B1	0/8
org.argouml.core.propertypanels.ui.UMLValueSpecificationPanel	private org.argouml.core.propertypanels.ui.UMLValueSpecificationValueField createField(java.lang.String) 	c	B1	0/8
org.argouml.core.propertypanels.ui.UMLValueSpecificationPanel	private org.argouml.core.propertypanels.ui.UMLValueSpecificationValueField createField(java.lang.String) 	c	B3	0/8
org.argouml.core.propertypanels.ui.UMLLinkedList	private final void showPopup(java.awt.event.MouseEvent) 	LOG	B2	0/8
org.argouml.core.propertypanels.ui.UMLLinkedList	private final void showPopup(java.awt.event.MouseEvent) 	LOG	B3	0/3
org.argouml.core.propertypanels.model.GetterSetterManagerImpl.ConcurrencyGetterSetter	public void set(java.lang.Object, java.lang.Object) 	kind	B1	0/7
org.argouml.core.propertypanels.model.GetterSetterManagerImpl.AggregationGetterSetter	public void set(java.lang.Object, java.lang.Object) 	kind	B1	0/6
org.argouml.core.propertypanels.model.MetaDataCache	private org.w3c.dom.Document getDocument() throws java.io.IOException, org.w3c.dom.DOMException, javax.xml.parsers.ParserConfigurationException, org.xml.sax.SAXException	inputSource	B1	0/6
org.argouml.core.propertypanels.ui.SwingUIFactory	private void createLabel(java.lang.Object, org.argouml.core.propertypanels.model.PanelData, javax.swing.JPanel) 	label	B1	0/6
org.argouml.core.propertypanels.ui.UMLEditableComboBox.UMLComboBoxEditor.UMLImagePanel	public void setIcon(javax.swing.Icon) 	imageIconLabel	B1	0/6
org.argouml.core.propertypanels.model.MetaDataCache	private void addCheckboxes(org.argouml.core.propertypanels.model.ControlData, org.w3c.dom.Element) 	controlData	B2	0/6
org.argouml.core.propertypanels.model.MetaDataCache	private void addCheckboxes(org.argouml.core.propertypanels.model.ControlData, org.w3c.dom.Element) 	controlData	B3	0/5
org.argouml.core.propertypanels.ui.UMLAssociationRoleBaseComboBoxModel	protected void addOtherModelEventListeners(java.lang.Object) 	others	B1	0/6
org.argouml.core.propertypanels.ui.UMLAssociationRoleBaseComboBoxModel	protected void addOtherModelEventListeners(java.lang.Object) 	others	B2	0/4
org.argouml.core.propertypanels.ui.UMLAssociationRoleBaseComboBoxModel	protected void addOtherModelEventListeners(java.lang.Object) 	others	B4	0/2
org.argouml.core.propertypanels.ui.ExpressionModel	private void setExpression(java.lang.String, java.lang.String) 	newExpression	B4	0/5
org.argouml.core.propertypanels.ui.UMLTagDefinitionTypedValuesListModel	protected void buildModelList() 	taggedValues	B2	0/5
org.argouml.core.propertypanels.ui.UMLGeneralizationPowertypeComboBoxModel	protected void buildModelList() 	elements	B1	0/5
org.argouml.core.propertypanels.ui.UMLGeneralizationPowertypeComboBoxModel	protected void buildModelList() 	elements	B2	0/3
org.argouml.core.propertypanels.ui.UMLTagDefinitionTypedValuesListModel	protected void buildModelList() 	i	B2	0/5
org.argouml.core.propertypanels.ui.UMLTagDefinitionTypedValuesListModel	protected void buildModelList() 	i	B3	0/3
org.argouml.core.propertypanels.ui.UMLTagDefinitionTypedValuesListModel	protected void buildModelList() 	typedValues	B2	0/5
org.argouml.core.propertypanels.ui.UMLTagDefinitionTypedValuesListModel	protected void buildModelList() 	typedValues	B3	0/3
org.argouml.core.propertypanels.ui.UMLCallActionOperationComboBoxModel	protected void buildModelList() 	ns	B2	0/5
org.argouml.core.propertypanels.ui.UMLCallActionOperationComboBoxModel	protected void buildModelList() 	ns	B3	0/4
org.argouml.core.propertypanels.ui.ExpressionModel	public void setBody(java.lang.String) 	lang	B5	0/5
org.argouml.core.propertypanels.ui.UMLExpressionModel	public void setBody(java.lang.String) 	lang	B5	0/5
org.argouml.core.propertypanels.model.MetaDataCache	private org.w3c.dom.Document getDocument() throws java.io.IOException, org.w3c.dom.DOMException, javax.xml.parsers.ParserConfigurationException, org.xml.sax.SAXException	filename	B1	0/4
org.argouml.core.propertypanels.model.MetaDataCache	private void addCheckboxes(org.argouml.core.propertypanels.model.ControlData, org.w3c.dom.Element) 	cbd	B3	0/4
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildCheckGroup(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	p	B1	0/4
org.argouml.core.propertypanels.ui.UMLAssociationRoleBaseComboBoxModel	protected void addOtherModelEventListeners(java.lang.Object) 	types	B1	0/4
org.argouml.core.propertypanels.ui.UMLExpressionModel	public void propertyChange(java.beans.PropertyChangeEvent) 	LOG	B2	0/4
org.argouml.core.propertypanels.ui.UMLOFSStateListModel.ActionAddOFSState	static void removeTopStateFrom(Collection#RAW) 	ret	B2	0/4
org.argouml.core.propertypanels.ui.UMLSignalComboBoxModel.SetAction	public void actionPerformed(java.awt.event.ActionEvent) 	o	B1	0/4
org.argouml.core.propertypanels.ui.UMLValueSpecificationModel	public void propertyChange(java.beans.PropertyChangeEvent) 	LOG	B2	0/4
org.argouml.core.propertypanels.ui.LabelledComponent	private void toggleExpansion(org.argouml.core.propertypanels.ui.Expandable) 	c	B1	0/4
org.argouml.core.propertypanels.ui.LabelledComponent	private void toggleExpansion(org.argouml.core.propertypanels.ui.Expandable) 	c	B4	0/4
org.argouml.core.propertypanels.ui.LabelledComponent	private void toggleExpansion(org.argouml.core.propertypanels.ui.Expandable) 	c	B6	0/4
org.argouml.core.propertypanels.ui.LabelledComponent	private void toggleExpansion(org.argouml.core.propertypanels.ui.Expandable) 	c	B7	0/2
org.argouml.core.propertypanels.ui.UMLComboBoxModel	private void buildModelListTimed() 	LOG	B1	0/4
org.argouml.core.propertypanels.ui.UMLComboBoxModel	private void buildModelListTimed() 	LOG	B2	0/2
org.argouml.core.propertypanels.ui.UMLMessagePredecessorListModel	protected void buildModelList() 	it	B1	0/4
org.argouml.core.propertypanels.ui.UMLMessagePredecessorListModel	protected void buildModelList() 	it	B2	0/2
org.argouml.core.propertypanels.ui.RowSelector	public void mousePressed(java.awt.event.MouseEvent) 	popup	B2	0/4
org.argouml.core.propertypanels.ui.RowSelector	public void mousePressed(java.awt.event.MouseEvent) 	popup	B3	0/3
org.argouml.core.propertypanels.ui.RowSelector	public void mousePressed(java.awt.event.MouseEvent) 	popup	B6	0/3
org.argouml.core.propertypanels.ui.RowSelector	public void mousePressed(java.awt.event.MouseEvent) 	popup	B8	0/3
org.argouml.core.propertypanels.ui.RowSelector	public void mousePressed(java.awt.event.MouseEvent) 	popup	B9	0/2
org.argouml.core.propertypanels.ui.RowSelector	public void mouseReleased(java.awt.event.MouseEvent) 	popup	B2	0/4
org.argouml.core.propertypanels.ui.RowSelector	public void mouseReleased(java.awt.event.MouseEvent) 	popup	B3	0/3
org.argouml.core.propertypanels.ui.RowSelector	public void mouseReleased(java.awt.event.MouseEvent) 	popup	B6	0/3
org.argouml.core.propertypanels.ui.RowSelector	public void mouseReleased(java.awt.event.MouseEvent) 	popup	B8	0/3
org.argouml.core.propertypanels.ui.RowSelector	public void mouseReleased(java.awt.event.MouseEvent) 	popup	B9	0/2
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildComboPanel(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	model	B4	0/4
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildTextArea(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	text	B11	0/4
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildComboPanel(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	model	B28	0/4
org.argouml.core.propertypanels.ui.ExpressionModel	public void setBody(java.lang.String) 	mustChange	B2	0/3
org.argouml.core.propertypanels.ui.ExpressionModel	public void setLanguage(java.lang.String) 	mustChange	B2	0/3
org.argouml.core.propertypanels.ui.LabelledComponent	private void setIcon() 	expander	B2	0/3
org.argouml.core.propertypanels.ui.UMLAssociationEndTypeComboBoxModel.ActionSetAssociationEndType	public void actionPerformed(java.awt.event.ActionEvent) 	newClassifier	B3	0/3
org.argouml.core.propertypanels.ui.UMLGeneralizationPowertypeComboBoxModel.ActionSetGeneralizationPowertype	public void actionPerformed(java.awt.event.ActionEvent) 	newClassifier	B3	0/3
org.argouml.core.propertypanels.ui.UMLGeneralizationPowertypeComboBoxModel	protected void buildMinimalModelList() 	element	B1	0/3
org.argouml.core.propertypanels.ui.UMLMethodSpecificationComboBoxModel.ActionSetMethodSpecification	public void actionPerformed(java.awt.event.ActionEvent) 	newOperation	B4	0/3
org.argouml.core.propertypanels.ui.UMLModelElementNamespaceComboBoxModel.SetAction	public void actionPerformed(java.awt.event.ActionEvent) 	newNamespace	B3	0/3
org.argouml.core.propertypanels.ui.UMLStubStateComboBoxModel	protected void buildModelList() 	stateMachine	B1	0/3
org.argouml.core.propertypanels.ui.UMLValueSpecificationValueFieldLiteralBoolean	public void buildPanel() 	falseButton	B1	0/3
org.argouml.core.propertypanels.ui.UMLValueSpecificationValueFieldLiteralBoolean	public void buildPanel() 	trueButton	B1	0/3
org.argouml.core.propertypanels.ui.UMLValueSpecificationValueFieldLiteralString	public void buildPanel() 	stringField	B1	0/3
org.argouml.core.propertypanels.ui.UMLValueSpecificationValueFieldOpaqueExpression	public void buildPanel() 	curBody	B1	0/3
org.argouml.core.propertypanels.ui.UMLValueSpecificationValueFieldOpaqueExpressionDialog	private void buildFirstPanel() 	curBody	B1	0/3
org.argouml.core.propertypanels.ui.ExpressionModel	public void setLanguage(java.lang.String) 	body	B5	0/3
org.argouml.core.propertypanels.ui.UMLCallEventOperationComboBoxModel	protected void buildModelList() 	ns	B2	0/3
org.argouml.core.propertypanels.ui.UMLValueSpecificationValueFieldOpaqueExpression	protected void updateModel() 	tabValues	B2	0/3
org.argouml.core.propertypanels.ui.UMLExpressionModel	public void setLanguage(java.lang.String) 	body	B5	0/3
org.argouml.core.propertypanels.ui.RowSelector.DeleteAction	public void actionPerformed(java.awt.event.ActionEvent) 	ce	B5	0/3
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildTextArea(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	osta	B9	0/3
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildTextArea(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	conditionArea	B13	0/3
