Refactoring Type	Source Entity	Target Class	Entity Placement	Rate it!
Move Method	org.hibernate.event.def.DefaultFlushEntityEventListener::handleInterception(org.hibernate.event.FlushEntityEvent):boolean	org.hibernate.event.FlushEntityEvent	0.928522650717303	
Move Method	org.hibernate.loader.custom.sql.SQLQueryReturnProcessor::processCollectionReturn(org.hibernate.engine.query.sql.NativeSQLQueryCollectionReturn):void	org.hibernate.engine.query.sql.NativeSQLQueryCollectionReturn	0.9285238909990325	
Move Method	org.hibernate.hql.classic.WhereParser::getElementName(org.hibernate.hql.classic.PathExpressionParser.CollectionElement, org.hibernate.hql.classic.QueryTranslatorImpl):java.lang.String	org.hibernate.hql.classic.PathExpressionParser.CollectionElement	0.9285263068676066	
Move Method	org.hibernate.cfg.Mappings::addResultSetMapping(org.hibernate.engine.ResultSetMappingDefinition):void	org.hibernate.engine.ResultSetMappingDefinition	0.928531360987495	
Move Method	org.hibernate.impl.AbstractSessionImpl::initQuery(org.hibernate.Query, org.hibernate.engine.NamedQueryDefinition):void	org.hibernate.engine.NamedQueryDefinition	0.9285360116806624	
Move Method	org.hibernate.event.def.DefaultMergeEventListener::entityIsTransient(org.hibernate.event.MergeEvent, java.util.Map):void	org.hibernate.event.MergeEvent	0.928538856395197	
Move Method	org.hibernate.event.def.DefaultLoadEventListener::loadFromDatasource(org.hibernate.event.LoadEvent, org.hibernate.persister.entity.EntityPersister, org.hibernate.engine.EntityKey, org.hibernate.event.LoadEventListener.LoadType):java.lang.Object	org.hibernate.event.LoadEvent	0.9285449033691042	
Move Method	org.hibernate.engine.query.NativeSQLQueryPlan::getNamedParameterLocs(java.lang.String):int[]	org.hibernate.loader.custom.sql.SQLCustomQuery	0.9285459321647208	
Move Method	org.hibernate.event.def.DefaultPersistEventListener::entityIsTransient(org.hibernate.event.PersistEvent, java.util.Map):void	org.hibernate.event.PersistEvent	0.928546055445445	
Move Method	org.hibernate.event.def.DefaultFlushEntityEventListener::dirtyCheck(org.hibernate.event.FlushEntityEvent):void	org.hibernate.event.FlushEntityEvent	0.9285463539083965	
Move Method	org.hibernate.event.def.DefaultPersistEventListener::entityIsPersistent(org.hibernate.event.PersistEvent, java.util.Map):void	org.hibernate.event.PersistEvent	0.92855655203993	
Move Method	org.hibernate.event.def.DefaultAutoFlushEventListener::flushIsReallyNeeded(org.hibernate.event.AutoFlushEvent, org.hibernate.event.EventSource):boolean	org.hibernate.event.AutoFlushEvent	0.928564438414999	
Move Method	org.hibernate.hql.ast.tree.FromElementFactory::createFromElement(java.lang.String):antlr.collections.AST	org.hibernate.hql.ast.tree.HqlSqlWalkerNode	0.9285676268013555	
Move Method	org.hibernate.event.def.DefaultMergeEventListener::entityIsPersistent(org.hibernate.event.MergeEvent, java.util.Map):void	org.hibernate.event.MergeEvent	0.92856913835873	
Move Method	org.hibernate.event.def.DefaultFlushEntityEventListener::scheduleUpdate(org.hibernate.event.FlushEntityEvent):boolean	org.hibernate.event.FlushEntityEvent	0.9285724803662804	
Move Method	org.hibernate.hql.ast.tree.AssignmentSpecification::validateLhs(org.hibernate.hql.ast.tree.FromReferenceNode):void	org.hibernate.hql.ast.tree.FromReferenceNode	0.9285783563395827	
Move Method	org.hibernate.event.def.DefaultLoadEventListener::assembleCacheEntry(org.hibernate.cache.entry.CacheEntry, java.io.Serializable, org.hibernate.persister.entity.EntityPersister, org.hibernate.event.LoadEvent):java.lang.Object	org.hibernate.cache.entry.CacheEntry	0.9285807057090606	
Move Method	org.hibernate.event.def.DefaultSaveOrUpdateEventListener::entityIsDetached(org.hibernate.event.SaveOrUpdateEvent):void	org.hibernate.event.SaveOrUpdateEvent	0.9285831711012389	
Move Method	org.hibernate.event.def.DefaultMergeEventListener::retryMergeTransientEntities(org.hibernate.event.MergeEvent, java.util.Map, org.hibernate.event.def.EventCache):void	org.hibernate.event.MergeEvent	0.9285873535584144	
Move Method	org.hibernate.hql.classic.WhereParser::addToCurrentJoin(org.hibernate.hql.classic.PathExpressionParser.CollectionElement):void	org.hibernate.hql.classic.PathExpressionParser.CollectionElement	0.9285916979195404	
Move Method	org.hibernate.event.def.DefaultLoadEventListener::load(org.hibernate.event.LoadEvent, org.hibernate.persister.entity.EntityPersister, org.hibernate.engine.EntityKey, org.hibernate.event.LoadEventListener.LoadType):java.lang.Object	org.hibernate.event.LoadEvent	0.9285929574848875	
Move Method	org.hibernate.engine.query.NativeSQLQueryPlan::coordinateSharedCacheCleanup(org.hibernate.engine.SessionImplementor):void	org.hibernate.loader.custom.sql.SQLCustomQuery	0.9285961397969588	
Move Method	org.hibernate.event.def.DefaultFlushEntityEventListener::isUpdateNecessary(org.hibernate.event.FlushEntityEvent):boolean	org.hibernate.event.FlushEntityEvent	0.9285967966232	
Move Method	org.hibernate.mapping.Table::validateColumns(org.hibernate.dialect.Dialect, org.hibernate.engine.Mapping, org.hibernate.tool.hbm2ddl.TableMetadata):void	org.hibernate.tool.hbm2ddl.TableMetadata	0.9285983811927799	
Move Method	org.hibernate.event.def.DefaultSaveOrUpdateEventListener::performUpdate(org.hibernate.event.SaveOrUpdateEvent, java.lang.Object, org.hibernate.persister.entity.EntityPersister):void	org.hibernate.event.SaveOrUpdateEvent	0.9285994803238304	
Move Method	org.hibernate.auction.Main::bidOnAuction(org.hibernate.auction.User, org.hibernate.auction.AuctionItem, float):void	org.hibernate.auction.User	0.9285997714794682	
Move Method	org.hibernate.event.def.DefaultFlushEntityEventListener::getNextVersion(org.hibernate.event.FlushEntityEvent):java.lang.Object	org.hibernate.event.FlushEntityEvent	0.9286002903673017	
Move Method	org.hibernate.engine.Cascade::cascade(org.hibernate.persister.entity.EntityPersister, java.lang.Object, java.lang.Object):void	org.hibernate.engine.CascadingAction	0.9286005350126415	
Move Method	org.hibernate.engine.Cascade::cascadeToOne(java.lang.Object, org.hibernate.type.Type, org.hibernate.engine.CascadeStyle, java.lang.Object, boolean):void	org.hibernate.engine.CascadeStyle	0.9286038428869843	
Move Method	org.hibernate.event.def.DefaultSaveOrUpdateEventListener::entityIsTransient(org.hibernate.event.SaveOrUpdateEvent):java.io.Serializable	org.hibernate.event.SaveOrUpdateEvent	0.9286042946016431	
Move Method	org.hibernate.persister.entity.AbstractEntityPersister::getPropertiesToUpdate(int[], boolean):boolean[]	org.hibernate.tuple.entity.EntityMetamodel	0.9286056689023037	
Move Method	org.hibernate.event.def.DefaultLoadEventListener::loadFromSessionCache(org.hibernate.event.LoadEvent, org.hibernate.engine.EntityKey, org.hibernate.event.LoadEventListener.LoadType):java.lang.Object	org.hibernate.event.LoadEventListener.LoadType	0.9286056938538613	
Move Method	org.hibernate.loader.criteria.CriteriaQueryTranslator::getWholeAssociationPath(org.hibernate.impl.CriteriaImpl.Subcriteria):java.lang.String	org.hibernate.impl.CriteriaImpl.Subcriteria	0.9286062733443463	
Move Method	org.hibernate.event.def.DefaultFlushEntityEventListener::isVersionIncrementRequired(org.hibernate.event.FlushEntityEvent, org.hibernate.engine.EntityEntry, org.hibernate.persister.entity.EntityPersister, int[]):boolean	org.hibernate.event.FlushEntityEvent	0.9286063847894984	
Move Method	org.hibernate.event.def.DefaultFlushEntityEventListener::hasDirtyCollections(org.hibernate.event.FlushEntityEvent, org.hibernate.persister.entity.EntityPersister, org.hibernate.engine.Status):boolean	org.hibernate.event.FlushEntityEvent	0.928607215666405	
Move Method	org.hibernate.engine.BatchFetchQueue::isCached(org.hibernate.engine.EntityKey, org.hibernate.persister.entity.EntityPersister, org.hibernate.EntityMode):boolean	org.hibernate.engine.EntityKey	0.9286073786988736	
Move Method	org.hibernate.sql.SelectFragment::setExtraSelectList(org.hibernate.sql.CaseFragment, java.lang.String):org.hibernate.sql.SelectFragment	org.hibernate.sql.CaseFragment	0.9286078460449866	
Move Method	org.hibernate.event.def.DefaultSaveOrUpdateEventListener::entityIsPersistent(org.hibernate.event.SaveOrUpdateEvent):java.io.Serializable	org.hibernate.event.SaveOrUpdateEvent	0.9286082312735351	
Move Method	org.hibernate.engine.loading.CollectionLoadContext::addCollectionToCache(org.hibernate.engine.loading.LoadingCollectionEntry, org.hibernate.persister.collection.CollectionPersister):void	org.hibernate.engine.loading.LoadingCollectionEntry	0.9286084546159843	
Move Method	org.hibernate.cfg.Configuration::addFilterDefinition(org.hibernate.engine.FilterDefinition):void	org.hibernate.engine.FilterDefinition	0.9286086146789303	
Move Method	org.hibernate.hql.ast.tree.SelectClause::getConstructor():java.lang.reflect.Constructor	org.hibernate.hql.ast.tree.ConstructorNode	0.928608846976285	
Move Method	org.hibernate.hql.ast.tree.SelectClause::isMap():boolean	org.hibernate.hql.ast.tree.ConstructorNode	0.928608846976285	
Move Method	org.hibernate.hql.ast.tree.SelectClause::isList():boolean	org.hibernate.hql.ast.tree.ConstructorNode	0.928608846976285	
Move Method	org.hibernate.loader.Loader::setMaxRows(java.sql.PreparedStatement, org.hibernate.engine.RowSelection):void	org.hibernate.engine.RowSelection	0.9286089260643821	
Move Method	org.hibernate.tuple.entity.EntityMetamodel::determineInsertValueGenerationType(org.hibernate.mapping.Property, org.hibernate.tuple.StandardProperty):org.hibernate.engine.ValueInclusion	org.hibernate.tuple.StandardProperty	0.928608933012152	
