Refactoring Type	Source Entity	Target Class	Entity Placement	Rate it!
Move Method	org.gjt.sp.jedit.gui.ToolBarManager::addToolBar(java.awt.Container, java.util.ArrayList, org.gjt.sp.jedit.gui.ToolBarManager.Entry):void	org.gjt.sp.jedit.gui.ToolBarManager.Entry	0.881610231426213	
Move Method	org.gjt.sp.jedit.options.EditingOptionPane::saveMode():void	org.gjt.sp.jedit.options.EditingOptionPane.ModeProperties	0.8816612426130239	
Move Method	installer.TarEntry::parseTarHeader(installer.TarHeader, byte[]):void	installer.TarHeader	0.8816932288717351	
Move Method	installer.TarEntry::nameTarHeader(installer.TarHeader, java.lang.String):void	installer.TarHeader	0.8817158431709979	
Move Method	installer.TarEntry::writeEntryHeader(byte[]):void	installer.TarHeader	0.8817368975175931	
Move Method	gnu.regexp.RE::getMinMax(char[], int, gnu.regexp.IntPair, gnu.regexp.RESyntax):int	gnu.regexp.IntPair	0.8817762178105176	
Move Method	macos.Delegate::handleOpenFile(com.apple.eawt.ApplicationEvent):void	com.apple.eawt.ApplicationEvent	0.8818169994719448	
Move Method	installer.SwingInstall::install():void	installer.SwingInstall.ChooseDirectory	0.8818208468907045	
Move Method	org.gjt.sp.jedit.textarea.JEditTextArea::lineInStructureScope(int):boolean	org.gjt.sp.jedit.textarea.StructureMatcher.Match	0.8818518725263391	
Move Method	org.gjt.sp.jedit.pluginmgr.ManagePanel.EntryCompare::compareNames(org.gjt.sp.jedit.pluginmgr.ManagePanel.Entry, org.gjt.sp.jedit.pluginmgr.ManagePanel.Entry):int	org.gjt.sp.jedit.pluginmgr.ManagePanel.Entry	0.881858567612065	
Move Method	org.gjt.sp.jedit.textarea.JEditTextArea::isStructureHighlightVisible():boolean	org.gjt.sp.jedit.textarea.StructureMatcher.Match	0.8818682500915819	
Move Method	bsh.BSHAllocationExpression::primitiveArrayAllocation(bsh.BSHPrimitiveType, bsh.BSHArrayDimensions, bsh.CallStack, bsh.Interpreter):java.lang.Object	bsh.BSHPrimitiveType	0.8818699891890422	
Move Method	macos.Delegate::handleOpenFile(org.gjt.sp.jedit.msg.ViewUpdate):void	org.gjt.sp.jedit.msg.ViewUpdate	0.8818763077018439	
Move Method	macos.Delegate::handleAbout(com.apple.eawt.ApplicationEvent):void	com.apple.eawt.ApplicationEvent	0.8818771211982095	
Move Method	macos.Delegate::handlePreferences(com.apple.eawt.ApplicationEvent):void	com.apple.eawt.ApplicationEvent	0.8818771211982095	
Move Method	org.gjt.sp.jedit.textarea.DisplayManager::_setScreenLineCount(int, int, int):void	org.gjt.sp.jedit.textarea.DisplayManager.Anchor	0.8818784706062016	
Move Method	org.gjt.sp.jedit.textarea.DisplayManager.BufferChangeHandler::preContentRemoved(org.gjt.sp.jedit.textarea.DisplayManager.Anchor, int, int):void	org.gjt.sp.jedit.textarea.DisplayManager.Anchor	0.8818809605109083	
Move Method	org.gjt.sp.jedit.textarea.ChunkCache::xToSubregionOffset(org.gjt.sp.jedit.textarea.ChunkCache.LineInfo, int, boolean):int	org.gjt.sp.jedit.textarea.ChunkCache.LineInfo	0.8818889003713327	
Move Method	org.gjt.sp.jedit.browser.FileCellRenderer::getEntryWidth(org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel.Entry, java.awt.Font, java.awt.font.FontRenderContext):int	org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel.Entry	0.8818902836102065	
Move Method	org.gjt.sp.jedit.textarea.DisplayManager.BufferChangeHandler::contentInserted(org.gjt.sp.jedit.textarea.DisplayManager.Anchor, int, int):void	org.gjt.sp.jedit.textarea.DisplayManager.Anchor	0.8818993287576162	
Move Method	org.gjt.sp.jedit.View::handleBufferUpdate(org.gjt.sp.jedit.msg.BufferUpdate):void	org.gjt.sp.jedit.msg.BufferUpdate	0.8819118921686481	
Move Method	bsh.SimpleNode::getLineNumber():int	bsh.Token	0.8819186891788389	
Move Method	bsh.BSHAllocationExpression::arrayNewInstance(java.lang.Class, bsh.BSHArrayDimensions, bsh.CallStack):java.lang.Object	bsh.BSHArrayDimensions	0.8819188368259242	
Move Method	macos.Delegate::openFile(com.apple.cocoa.application.NSPasteboard, java.lang.String):java.lang.String	com.apple.cocoa.application.NSPasteboard	0.8819223818530263	
Move Method	macos.Delegate::openSelection(com.apple.cocoa.application.NSPasteboard, java.lang.String):java.lang.String	com.apple.cocoa.application.NSPasteboard	0.8819223818530263	
Move Method	macos.Delegate::handleFileCodes(org.gjt.sp.jedit.msg.BufferUpdate):void	org.gjt.sp.jedit.msg.BufferUpdate	0.8819234165787379	
Move Method	org.gjt.sp.jedit.options.AbbrevsOptionPane::add(org.gjt.sp.jedit.options.AbbrevsModel, java.lang.String, java.lang.String):void	org.gjt.sp.jedit.options.AbbrevsModel	0.881925191342133	
Move Method	org.gjt.sp.jedit.help.HelpTOCPanel::loadTOC(javax.swing.tree.DefaultMutableTreeNode, java.lang.String):void	org.gjt.sp.jedit.help.HelpViewer	0.8819264524791713	
Move Method	org.gjt.sp.jedit.textarea.JEditTextArea::showStructureStatusMessage(boolean):void	org.gjt.sp.jedit.textarea.StructureMatcher.Match	0.8819265492506083	
Move Method	org.gjt.sp.jedit.textarea.DisplayManager::getScrollLineCount():int	org.gjt.sp.jedit.textarea.DisplayManager.Anchor	0.8819285773442477	
Move Method	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable::resizeColumnsAppropriately():void	org.gjt.sp.jedit.browser.FileCellRenderer	0.8819324802926062	
Move Method	org.gjt.sp.jedit.ActionSet::removeAction(java.lang.String):void	org.gjt.sp.jedit.ActionContext	0.8819330209535523	
Move Method	org.gjt.sp.jedit.textarea.ExtensionManager::paintScreenLineRange(org.gjt.sp.jedit.textarea.JEditTextArea, java.awt.Graphics2D, int, int, int, int):void	org.gjt.sp.jedit.textarea.JEditTextArea	0.8819368561714295	
Move Method	org.gjt.sp.util.WorkThread::doRequest(org.gjt.sp.util.WorkThreadPool.Request):void	org.gjt.sp.util.WorkThreadPool.Request	0.8819374437407607	
Move Method	macos.Delegate::insertSelection(com.apple.cocoa.application.NSPasteboard, java.lang.String):java.lang.String	com.apple.cocoa.application.NSPasteboard	0.8819374624146321	
Move Method	org.gjt.sp.jedit.PluginJAR::startPlugin():void	org.gjt.sp.jedit.EditPlugin	0.8819424290360277	
Move Method	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable::maybeReloadDirectoryVFSDirectoryEntryTable(java.lang.String):void	org.gjt.sp.jedit.browser.BrowserView	0.881943526459111	
Move Method	bsh.EvalError::getErrorText():java.lang.String	bsh.SimpleNode	0.8819448277889759	
Move Method	bsh.EvalError::getErrorLineNumber():int	bsh.SimpleNode	0.8819448277889759	
Move Method	bsh.EvalError::getErrorSourceFile():java.lang.String	bsh.SimpleNode	0.8819448277889759	
