Refactoring Type	Source Entity	Target Class	Entity Placement	Rate it!
Move Method	org.jfree.chart.renderer.category.CategoryStepRenderer::drawLine(java.awt.Graphics2D, org.jfree.chart.renderer.category.CategoryStepRenderer.State, org.jfree.chart.plot.PlotOrientation, double, double, double, double):void	org.jfree.chart.renderer.category.CategoryStepRenderer.State	0.9156671930116034	
Move Method	org.jfree.chart.title.LegendTitle::createLegendItemBlock(org.jfree.chart.LegendItem):org.jfree.chart.block.Block	org.jfree.chart.LegendItem	0.915781240082651	
Move Method	org.jfree.chart.plot.PiePlot::getArcCenter(org.jfree.chart.plot.PiePlotState, java.lang.Comparable):java.awt.geom.Point2D	org.jfree.chart.plot.PiePlotState	0.9157889263323884	
Move Method	org.jfree.data.time.ohlc.OHLCSeries::add(org.jfree.data.time.ohlc.OHLCItem):void	org.jfree.data.time.ohlc.OHLCItem	0.9157978562719543	
Move Method	org.jfree.chart.plot.PiePlot::drawRightLabel(java.awt.Graphics2D, org.jfree.chart.plot.PiePlotState, org.jfree.chart.plot.PieLabelRecord):void	org.jfree.chart.plot.PiePlotState	0.9158111194825663	
Move Method	org.jfree.chart.plot.PiePlot::drawLeftLabel(java.awt.Graphics2D, org.jfree.chart.plot.PiePlotState, org.jfree.chart.plot.PieLabelRecord):void	org.jfree.chart.plot.PiePlotState	0.9158111250493476	
Move Method	org.jfree.chart.renderer.OutlierListCollection::updateOutlierList(org.jfree.chart.renderer.OutlierList, org.jfree.chart.renderer.Outlier):boolean	org.jfree.chart.renderer.OutlierList	0.9158159153385551	
Move Method	org.jfree.chart.MouseWheelHandler::handleZoomable(org.jfree.chart.plot.Zoomable, java.awt.event.MouseWheelEvent):void	org.jfree.chart.ChartPanel	0.9158368245753694	
Move Method	org.jfree.chart.plot.MeterPlot::drawArcForInterval(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.MeterInterval):void	org.jfree.chart.plot.MeterInterval	0.9158394740926068	
Move Method	org.jfree.chart.block.GridArrangement::arrangeFF(org.jfree.chart.block.BlockContainer, java.awt.Graphics2D, org.jfree.chart.block.RectangleConstraint):org.jfree.ui.Size2D	org.jfree.chart.block.RectangleConstraint	0.9158402644460478	
