Refactoring Type	Source Entity	Target Class	Entity Placement	Rate it!
Move Method	org.jruby.RubyString::trNext(org.jruby.RubyString.TR, org.jruby.Ruby, org.jcodings.Encoding):int	org.jruby.RubyString.TR	0.946685549819089	
Move Method	org.jruby.RubyString::trNext(org.jruby.RubyString.TR):int	org.jruby.RubyString.TR	0.9466855524109214	
Move Method	org.jruby.RubyString::trFind(int, boolean[], org.jruby.RubyString.TrTables):boolean	org.jruby.RubyString.TrTables	0.9466900543646232	
Move Method	org.jruby.internal.runtime.methods.DefaultMethod::incrementCallCount():int	org.jruby.internal.runtime.methods.DefaultMethod.DynamicMethodBox	0.9467487071829181	
Move Method	org.jruby.internal.runtime.methods.DefaultMethod::setCallCount(int):void	org.jruby.internal.runtime.methods.DefaultMethod.DynamicMethodBox	0.9467487073737886	
Move Method	org.jruby.internal.runtime.methods.DefaultMethod::getCallCount():int	org.jruby.internal.runtime.methods.DefaultMethod.DynamicMethodBox	0.9467487076656536	
Move Method	org.jruby.internal.runtime.methods.InterpretedMethod::pre(org.jruby.runtime.ThreadContext, java.lang.String, org.jruby.runtime.builtin.IRubyObject, org.jruby.runtime.Block, org.jruby.Ruby):void	org.jruby.runtime.ThreadContext	0.9467661925932683	
Move Method	org.jruby.ast.util.SexpMaker::valiasNode(org.jruby.ast.VAliasNode):void	org.jruby.ast.VAliasNode	0.9467713200067713	
Move Method	org.jruby.runtime.callback.InvocationCallbackFactory::endCall(org.objectweb.asm.ClassWriter, org.objectweb.asm.MethodVisitor, java.lang.String):java.lang.Class	org.jruby.util.JRubyClassLoader	0.9467730499996205	
Move Method	org.jruby.ast.util.SexpMaker::xStrNode(org.jruby.ast.XStrNode):void	org.jruby.ast.XStrNode	0.9467762068172638	
Move Method	org.jruby.compiler.ir.IR_Builder::buildXStr(org.jruby.ast.XStrNode, org.jruby.compiler.ir.IR_Scope):org.jruby.compiler.ir.operands.Operand	org.jruby.ast.XStrNode	0.946778405504275	
Move Method	org.jruby.ast.util.SexpMaker::aliasNode(org.jruby.ast.AliasNode):void	org.jruby.ast.AliasNode	0.9467841841248534	
Move Method	org.jruby.ast.util.SexpMaker::dotNode(org.jruby.ast.DotNode):void	org.jruby.ast.DotNode	0.9467849857409537	
Move Method	org.jruby.internal.runtime.methods.InvocationMethodFactory::getAnnotatedMethodClass(org.jruby.anno.JavaMethodDescriptor):java.lang.Class	org.jruby.anno.JavaMethodDescriptor	0.946785242927502	
Move Method	org.jruby.RubyHash::visitAll(org.jruby.RubyHash.Visitor):void	org.jruby.RubyHash.Visitor	0.946791258524147	
Move Method	org.jruby.ast.util.SexpMaker::blockArgNode(org.jruby.ast.BlockArgNode):void	org.jruby.ast.BlockArgNode	0.9467922886633988	
Move Method	org.jruby.ast.util.SexpMaker::undefNode(org.jruby.ast.UndefNode):void	org.jruby.ast.UndefNode	0.9467955052914072	
Move Method	org.jruby.compiler.ir.IR_Builder::buildAlias(org.jruby.ast.AliasNode, org.jruby.compiler.ir.IR_Scope):org.jruby.compiler.ir.operands.Operand	org.jruby.ast.AliasNode	0.9467960830721267	
Move Method	org.jruby.ast.util.SexpMaker::dRegexpNode(org.jruby.ast.DRegexpNode):void	org.jruby.ast.DRegexpNode	0.9467961306756983	
Move Method	org.jruby.ast.util.SexpMaker::regexpNode(org.jruby.ast.RegexpNode):void	org.jruby.ast.RegexpNode	0.9468009522386659	
Move Method	org.jruby.RubyModule::getCacheToken():java.lang.Object	org.jruby.RubyModule.Generation	0.946802855534399	
Move Method	org.jruby.compiler.ir.IR_Builder::buildRegexp(org.jruby.ast.RegexpNode, org.jruby.compiler.ir.IR_Scope):org.jruby.compiler.ir.operands.Operand	org.jruby.ast.RegexpNode	0.9468032004246533	
Move Method	org.jruby.ext.ffi.StructLayout.Array::get(org.jruby.runtime.ThreadContext):org.jruby.runtime.builtin.IRubyObject	org.jruby.ext.ffi.MemoryOp	0.9468052789627814	
Move Method	org.jruby.ast.util.SexpMaker::argumentNode(org.jruby.ast.ArgumentNode):void	org.jruby.ast.ArgumentNode	0.9468056901906462	
Move Method	org.jruby.anno.TypePopulator::populateMethod(org.jruby.internal.runtime.methods.JavaMethod, int, java.lang.String, boolean, org.jruby.internal.runtime.methods.CallConfiguration):void	org.jruby.internal.runtime.methods.JavaMethod	0.9468058422247132	
Move Method	org.jruby.runtime.assigner.PreManyRest1Post0Assigner::assignNilTo(org.jruby.Ruby, org.jruby.runtime.ThreadContext, org.jruby.runtime.builtin.IRubyObject, org.jruby.runtime.Block, int):void	org.jruby.ast.ListNode	0.9468135992640963	
Move Method	org.jruby.internal.runtime.methods.InvocationMethodFactory::prepareAnnotatedMethod(org.jruby.RubyModule, org.jruby.internal.runtime.methods.JavaMethod, org.jruby.anno.JavaMethodDescriptor):void	org.jruby.anno.JavaMethodDescriptor	0.9468152019847537	
Move Method	org.jruby.ast.util.SexpMaker::classVarNode(org.jruby.ast.ClassVarNode):void	org.jruby.ast.ClassVarNode	0.9468152229209973	
Move Method	org.jruby.ast.util.SexpMaker::floatNode(org.jruby.ast.FloatNode):void	org.jruby.ast.FloatNode	0.9468164097196083	
Move Method	org.jruby.ast.util.SexpMaker::bignumNode(org.jruby.ast.BignumNode):void	org.jruby.ast.BignumNode	0.9468164102886731	
Move Method	org.jruby.ext.socket.RubyUNIXSocket::unixpath(org.jruby.ext.socket.RubyUNIXSocket.LibCSocket.sockaddr_un, com.kenai.jaffl.byref.IntByReference):java.lang.String	org.jruby.ext.socket.RubyUNIXSocket.LibCSocket.sockaddr_un	0.9468172976596091	
Move Method	org.jruby.ast.util.SexpMaker::nthRefNode(org.jruby.ast.NthRefNode):void	org.jruby.ast.NthRefNode	0.9468173283130548	
Move Method	org.jruby.ast.util.SexpMaker::classVarDeclNode(org.jruby.ast.ClassVarDeclNode):void	org.jruby.ast.ClassVarDeclNode	0.9468173678998113	
Move Method	org.jruby.parser.ParserSupport::negateFloat(org.jruby.ast.FloatNode):org.jruby.ast.FloatNode	org.jruby.ast.FloatNode	0.9468175611523039	
