Refactoring Type	Source Entity	Target Class	Entity Placement	Rate it!
Move Method	net.sourceforge.squirrel_sql.client.gui.LogPanel::showLogInDialog():void	net.sourceforge.squirrel_sql.client.gui.LogPanel.LogData	0.9329599965008556	
Move Method	de.ixdb.squirrel_sql.plugins.cache.QueryPlanTab::onHyperlinkUpdate(javax.swing.event.HyperlinkEvent):void	de.ixdb.squirrel_sql.plugins.cache.QueryPlanPanel	0.9329665630947335	
Move Method	net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.ColorPropertiesPanel::getSQLAliasColorProperties():net.sourceforge.squirrel_sql.client.gui.db.SQLAliasColorProperties	net.sourceforge.squirrel_sql.client.gui.db.SQLAliasColorProperties	0.9329673864037856	
Move Method	com.csvreader.CsvReader::setHeaders(java.lang.String[]):void	com.csvreader.CsvReader.HeadersHolder	0.9329675020329159	
Move Method	net.sourceforge.squirrel_sql.plugins.firebirdmanager.gui.FirebirdManagerBackupRestoreFrame::saveSessionPreferences():void	net.sourceforge.squirrel_sql.plugins.firebirdmanager.pref.FirebirdManagerBackupAndRestorePreferenceBean	0.9329685281792259	
Move Method	net.sourceforge.squirrel_sql.plugins.firebirdmanager.gui.FirebirdManagerCreateDatabaseFrame::saveSessionPreferences():void	net.sourceforge.squirrel_sql.plugins.firebirdmanager.pref.FirebirdManagerCreateDatabasePreferenceBean	0.9329719834750355	
Move Method	net.sourceforge.squirrel_sql.plugins.dataimport.importer.excel.ExcelFileImporter::getSheet(jxl.Workbook):jxl.Sheet	net.sourceforge.squirrel_sql.plugins.dataimport.importer.excel.ExcelSettingsBean	0.9329735359325124	
Move Method	net.sourceforge.squirrel_sql.plugins.syntax.netbeans.SQLSettingsDefaults.SQLTokenColoringInitializer::createColoringFromStyle(net.sourceforge.squirrel_sql.plugins.syntax.SyntaxStyle):org.netbeans.editor.Coloring	net.sourceforge.squirrel_sql.plugins.syntax.SyntaxStyle	0.9329750834624041	
Move Method	net.sourceforge.squirrel_sql.plugins.dataimport.importer.excel.ExcelSettingsPanel::loadSettings():void	net.sourceforge.squirrel_sql.plugins.dataimport.importer.excel.ExcelSettingsBean	0.9329758602304059	
Move Method	net.sourceforge.squirrel_sql.plugins.firebirdmanager.gui.FirebirdManagerUserManagerFrame::saveSessionPreferences():void	net.sourceforge.squirrel_sql.plugins.firebirdmanager.pref.FirebirdManagerUsersPreferenceBean	0.9329764227397334	
Move Method	net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.DataTypeBlob::wholeBlobRead(net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.BlobDescriptor):boolean	net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.BlobDescriptor	0.9329831571138474	
Move Method	net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.DataTypeClob::wholeClobRead(net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.ClobDescriptor):boolean	net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.ClobDescriptor	0.9329835407961234	
Move Method	net.sourceforge.squirrel_sql.plugins.exportconfig.gui.ExportPanelBuilder::writeToPerferences(net.sourceforge.squirrel_sql.plugins.exportconfig.ExportConfigPreferences):void	net.sourceforge.squirrel_sql.plugins.exportconfig.ExportConfigPreferences	0.9329836272629222	
Move Method	net.sourceforge.squirrel_sql.plugins.sqlval.SessionSettingsPanel::loadData():void	net.sourceforge.squirrel_sql.plugins.sqlval.WebServiceSessionProperties	0.9329848514861616	
Move Method	net.sourceforge.squirrel_sql.plugins.graph.GraphTextAreaFactory::setColumns(net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo[]):void	net.sourceforge.squirrel_sql.plugins.graph.ColumnTextArea	0.9329860894374034	
Move Method	net.sourceforge.squirrel_sql.plugins.hibernate.mapping.MappedObjectPanelManager::onTreeSelectionChanged(javax.swing.event.TreeSelectionEvent):void	net.sourceforge.squirrel_sql.plugins.hibernate.mapping.DetailPanelController	0.9329866588270322	
Move Method	net.sourceforge.squirrel_sql.plugins.dbcopy.gui.PreferencesPanel::save():void	net.sourceforge.squirrel_sql.plugins.dbcopy.prefs.DBCopyPreferenceBean	0.9329898573291541	
Move Method	net.sourceforge.squirrel_sql.plugins.sqlval.AppPreferencesPanel::save():void	net.sourceforge.squirrel_sql.plugins.sqlval.WebServicePreferences	0.9329903633367942	
Move Method	net.sourceforge.squirrel_sql.plugins.graph.FormatController::updateRightSideControls():void	net.sourceforge.squirrel_sql.plugins.graph.FormatDlg	0.9329918478934334	
Move Method	net.sourceforge.squirrel_sql.plugins.syntax.oster.OsterTextControl::applyStyle(javax.swing.text.SimpleAttributeSet, net.sourceforge.squirrel_sql.plugins.syntax.SyntaxStyle, net.sourceforge.squirrel_sql.fw.gui.FontInfo):void	net.sourceforge.squirrel_sql.plugins.syntax.SyntaxStyle	0.9329944397357228	
Move Method	net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.FindInObjectTreeController::onEnter():void	net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.FindInObjectTreePanel	0.9329944570270059	
Move Method	net.sourceforge.squirrel_sql.plugins.userscript.kernel.GenerateTemplateController::onSave():void	net.sourceforge.squirrel_sql.plugins.userscript.kernel.GenerateTemplateDialog	0.9329944586539257	
Move Method	net.sourceforge.squirrel_sql.plugins.dataimport.importer.excel.ExcelSettingsPanel::applySettings():void	net.sourceforge.squirrel_sql.plugins.dataimport.importer.excel.ExcelSettingsBean	0.932995388808002	
Move Method	net.sourceforge.squirrel_sql.plugins.firebirdmanager.gui.PreferencesPanel::save():void	net.sourceforge.squirrel_sql.plugins.firebirdmanager.pref.FirebirdManagerPreferenceBean	0.9329962132192	
Move Method	net.sourceforge.squirrel_sql.plugins.firebirdmanager.gui.PreferencesPanel::readData():void	net.sourceforge.squirrel_sql.plugins.firebirdmanager.pref.FirebirdManagerPreferenceBean	0.9329962132928317	
Move Method	com.csvreader.CsvReader::appendLetter(char):void	com.csvreader.CsvReader.ColumnBuffer	0.9330010658760505	
Move Method	net.sourceforge.squirrel_sql.plugins.hibernate.SQLPanelManager::onSessionClosing():void	net.sourceforge.squirrel_sql.plugins.hibernate.HibernateSQLPanel	0.93300226800054	
Move Method	net.sourceforge.squirrel_sql.plugins.syntax.oster.OsterTextControl.Colorer::adjustIntervalsToAdjustment(net.sourceforge.squirrel_sql.plugins.syntax.oster.OsterTextControl.Colorer.RecolorEvent):void	net.sourceforge.squirrel_sql.plugins.syntax.oster.OsterTextControl.Colorer.RecolorEvent	0.933003252275659	
Move Method	net.sourceforge.squirrel_sql.plugins.sqlval.AppPreferencesPanel::loadData():void	net.sourceforge.squirrel_sql.plugins.sqlval.WebServicePreferences	0.9330035519625306	
Move Method	net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.FindInObjectTreeController::dispose():void	net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.FindInObjectTreePanel	0.9330037548631861	
Move Method	net.sourceforge.squirrel_sql.plugins.oracle.expander.SchemaExpander::createObjectTypeNode(net.sourceforge.squirrel_sql.client.session.ISession, java.lang.String, java.lang.String, net.sourceforge.squirrel_sql.fw.sql.SQLDatabaseMetaData, net.sourceforge.squirrel_sql.plugins.oracle.expander.ObjectType):net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTreeNode	net.sourceforge.squirrel_sql.plugins.oracle.expander.ObjectType	0.9330037608614475	
Move Method	net.sourceforge.squirrel_sql.fw.sql.SQLDatabaseMetaData::createForeignKeyInfoKey(net.sourceforge.squirrel_sql.fw.sql.ForeignKeyInfo):java.lang.String	net.sourceforge.squirrel_sql.fw.sql.ForeignKeyInfo	0.9330045452699548	
Move Method	net.sourceforge.squirrel_sql.plugins.mssql.gui.GenerateSqlDialog::transferObjectsOfType(int, net.sourceforge.squirrel_sql.plugins.mssql.util.DatabaseObjectInfoTableModel, net.sourceforge.squirrel_sql.plugins.mssql.util.DatabaseObjectInfoTableModel):void	net.sourceforge.squirrel_sql.plugins.mssql.util.DatabaseObjectInfoTableModel	0.9330045657896716	
Move Method	com.csvreader.CsvReader::getHeaders():java.lang.String[]	com.csvreader.CsvReader.HeadersHolder	0.9330056415288318	
Move Method	com.csvreader.CsvReader::getHeader(int):java.lang.String	com.csvreader.CsvReader.HeadersHolder	0.9330056415288318	
Move Method	net.sourceforge.squirrel_sql.fw.gui.action.TableExportCsvController::initDlg():void	net.sourceforge.squirrel_sql.fw.gui.action.TableExportCsvDlg	0.9330060333197053	
Move Method	net.sourceforge.squirrel_sql.plugins.editextras.EscapeDateController::onTimeStamp():void	net.sourceforge.squirrel_sql.plugins.editextras.EscapeDateFrame	0.9330061527595	
Move Method	net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.DriverPropertiesPanel::getSQLDriverProperties():net.sourceforge.squirrel_sql.fw.sql.SQLDriverPropertyCollection	net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.DriverPropertiesTable	0.9330065491381611	
Move Method	net.sourceforge.squirrel_sql.plugins.dbcopy.gui.DualProgressBarDialog.RemainingTimeCalculator::getTimeRemaining(net.sourceforge.squirrel_sql.plugins.dbcopy.gui.DualProgressBarDialog.TimeCounter):net.sourceforge.squirrel_sql.plugins.dbcopy.gui.DualProgressBarDialog.TimeCounter	net.sourceforge.squirrel_sql.plugins.dbcopy.gui.DualProgressBarDialog.TimeCounter	0.933009272597549	
Move Method	com.csvreader.CsvReader::updateCurrentValue():void	com.csvreader.CsvReader.DataBuffer	0.9330100600413171	
Move Method	net.sourceforge.squirrel_sql.fw.datasetviewer.RowDataInputFrame.RowDataModel::getColumnDescription(net.sourceforge.squirrel_sql.fw.datasetviewer.ColumnDisplayDefinition):java.lang.String	net.sourceforge.squirrel_sql.fw.datasetviewer.ColumnDisplayDefinition	0.9330103411077981	
Move Method	net.sourceforge.squirrel_sql.plugins.oracle.OraclePlugin::getAccessibleSchemas(net.sourceforge.squirrel_sql.plugins.oracle.OracleAliasPrefs, net.sourceforge.squirrel_sql.fw.sql.ISQLConnection):java.lang.String[]	net.sourceforge.squirrel_sql.plugins.oracle.OracleAliasPrefs	0.9330103481263113	
Move Method	net.sourceforge.squirrel_sql.plugins.syntax.oster.OsterTextControl.Colorer::getColorLen(int, net.sourceforge.squirrel_sql.plugins.syntax.oster.OsterTextControl.Colorer.RecolorEvent):int	net.sourceforge.squirrel_sql.plugins.syntax.oster.OsterTextControl.Colorer.RecolorEvent	0.9330106343475738	
Move Method	net.sourceforge.squirrel_sql.plugins.syntax.oster.OsterTextControl.Colorer::getColorStartPos(net.sourceforge.squirrel_sql.plugins.syntax.oster.OsterTextControl.Colorer.RecolorEvent):int	net.sourceforge.squirrel_sql.plugins.syntax.oster.OsterTextControl.Colorer.RecolorEvent	0.9330106343475738	
Move Method	net.sourceforge.squirrel_sql.client.session.parser.kernel.Scanner::CheckLiteral(java.lang.StringBuffer):void	net.sourceforge.squirrel_sql.client.session.parser.kernel.Token	0.933010790889912	
Move Method	net.sourceforge.squirrel_sql.fw.gui.action.TableExportCsvController::writePrefs():void	net.sourceforge.squirrel_sql.fw.gui.action.TableExportCsvDlg	0.933010997046055	
Move Method	net.sourceforge.squirrel_sql.plugins.sqlscript.table_script.CreateTableScriptCommand::createTableScriptString(net.sourceforge.squirrel_sql.fw.sql.IDatabaseObjectInfo[]):java.lang.String	net.sourceforge.squirrel_sql.plugins.sqlscript.prefs.SQLScriptPreferenceBean	0.9330126515694745	
Move Method	net.sourceforge.squirrel_sql.plugins.hibernate.mapping.MappedObjectPanelManager::closingMappedObjectPanelManager():void	net.sourceforge.squirrel_sql.plugins.hibernate.mapping.MappedObjectPanel	0.9330126936517251	
Move Method	net.sourceforge.squirrel_sql.plugins.codecompletion.CodeCompletionTableAliasInfo::getStatBegin():int	net.sourceforge.squirrel_sql.client.session.parser.kernel.TableAliasInfo	0.9330130553959741	
Move Method	net.sourceforge.squirrel_sql.plugins.graph.ZoomPrintController::onShowEdges():void	net.sourceforge.squirrel_sql.plugins.graph.ZoomPrintPanel	0.9330149634088053	
Move Method	net.sourceforge.squirrel_sql.plugins.i18n.DevelopersController::uninitialize():void	net.sourceforge.squirrel_sql.plugins.i18n.DevelopersPanel	0.9330169119701319	
Move Method	net.sourceforge.squirrel_sql.fw.datasetviewer.CellImportExportInfoSaver::add(net.sourceforge.squirrel_sql.fw.datasetviewer.CellImportExportInfo):void	net.sourceforge.squirrel_sql.fw.datasetviewer.CellImportExportInfo	0.9330171533774522	
Move Method	net.sourceforge.squirrel_sql.plugins.sqlscript.prefs.SQLScriptPreferencesPanel::loadData():void	net.sourceforge.squirrel_sql.plugins.sqlscript.prefs.SQLScriptPreferenceBean	0.9330178893819054	
Move Method	net.sourceforge.squirrel_sql.plugins.sqlscript.prefs.SQLScriptPreferencesPanel::save():void	net.sourceforge.squirrel_sql.plugins.sqlscript.prefs.SQLScriptPreferenceBean	0.9330178894998522	
Move Method	net.sourceforge.squirrel_sql.plugins.syntax.AutoCorrectController::onApply():void	net.sourceforge.squirrel_sql.plugins.syntax.AutoCorrectDlg	0.9330180309483102	
Move Method	net.sourceforge.squirrel_sql.plugins.i18n.TranslatorsController::uninitialize():void	net.sourceforge.squirrel_sql.plugins.i18n.TranslatorsPanel	0.9330184027246625	
Move Method	net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.SchemaTableModel::setColumnTo(int, net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.SchemaTableCboItem):void	net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.SchemaTableCboItem	0.933018632453286	
Move Method	net.sourceforge.squirrel_sql.client.gui.desktopcontainer.TabbedStyleHintController::isDontShowAgain():boolean	net.sourceforge.squirrel_sql.client.gui.desktopcontainer.TabbedStyleHintDlg	0.9330186375804056	
Move Method	net.sourceforge.squirrel_sql.plugins.sqlbookmark.SQLBookmarkPreferencesController::onTreeSelectionChanged(javax.swing.event.TreeSelectionEvent):void	net.sourceforge.squirrel_sql.plugins.sqlbookmark.SQLBookmarkPreferencesPanel	0.9330188240850137	
Move Method	net.sourceforge.squirrel_sql.plugins.dataimport.gui.PreferencesPanel::loadData():void	net.sourceforge.squirrel_sql.plugins.dataimport.prefs.DataImportPreferenceBean	0.9330214269758343	
Move Method	net.sourceforge.squirrel_sql.plugins.dataimport.gui.PreferencesPanel::save():void	net.sourceforge.squirrel_sql.plugins.dataimport.prefs.DataImportPreferenceBean	0.9330214271574768	
Move Method	net.sourceforge.squirrel_sql.plugins.i18n.DevelopersController::onChooseSourceDir():void	net.sourceforge.squirrel_sql.plugins.i18n.DevelopersPanel	0.9330215624678886	
Move Method	com.csvreader.CsvReader::getHeaderCount():int	com.csvreader.CsvReader.HeadersHolder	0.9330219852093743	
Move Method	net.sourceforge.squirrel_sql.plugins.syntax.SyntaxPreferencesPanel.MyPanel::applyChanges(net.sourceforge.squirrel_sql.plugins.syntax.SyntaxPreferences):void	net.sourceforge.squirrel_sql.plugins.syntax.SyntaxPreferences	0.9330226906111392	
