net.sourceforge.squirrel_sql.client.session.parser.kernel.ErrorStream	protected void ParsErr(int, int, int) 	s	B1	0/466
net.sourceforge.squirrel_sql.client.session.properties.SessionSQLPropertiesPanel.SQLPropertiesPanel	private javax.swing.JPanel createSQLPanel() 	gbc	B1	0/53
net.sourceforge.squirrel_sql.plugins.mssql.gui.GenerateSqlDialog	private javax.swing.JPanel buildGeneralPanel() 	c	B1	0/33
net.sourceforge.squirrel_sql.plugins.mysql.action.CreateTableCommand	public java.lang.String getQuery() 	rowData	B1	0/30
net.sourceforge.squirrel_sql.plugins.mysql.action.CreateTableCommand	public java.lang.String getQuery() 	rowData	B2	0/28
net.sourceforge.squirrel_sql.plugins.dbcopy.gui.PreferencesPanel	private void save() 	_prefs	B1	0/29
net.sourceforge.squirrel_sql.client.preferences.UpdatePreferencesPanel	private javax.swing.JPanel createUpdateSitePanel() 	gbc	B1	0/26
net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser	private final void InsertStmt() 	column	B1	0/25
net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser	private final void InsertStmt() 	statement	B1	0/25
net.sourceforge.squirrel_sql.plugins.mssql.gui.GenerateSqlDialog	private javax.swing.JPanel buildOptionsPanel() 	c	B1	0/25
net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame	private javax.swing.JPanel createExtraClassPathPanel() 	gbc	B1	0/24
net.sourceforge.squirrel_sql.client.session.properties.EditWhereColsSheet	private void createGUI() 	gbc	B1	0/24
net.sourceforge.squirrel_sql.client.session.properties.EditWhereColsSheet	private void createGUI() 	gbc	B2	0/24
net.sourceforge.squirrel_sql.client.session.properties.EditWhereColsSheet	private void createGUI() 	gbc	B4	0/24
net.sourceforge.squirrel_sql.client.preferences.ProxyPreferencesPanel.MyPanel	private javax.swing.JPanel createHTTPPanel() 	gbc	B1	0/23
net.sourceforge.squirrel_sql.client.preferences.GeneralPreferencesPanel.MyPanel	private javax.swing.JPanel createGeneralPanel() 	gbc	B1	0/22
net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame	private void createGUI() 	gbc	B1	0/21
net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame	private void createGUI() 	gbc	B4	0/21
net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame	private void createGUI() 	gbc	B6	0/21
net.sourceforge.squirrel_sql.client.session.properties.GeneralSessionPropertiesPanel.MyPanel	private javax.swing.JPanel createAppearancePanel() 	gbc	B1	0/21
net.sourceforge.squirrel_sql.plugins.codecompletion.StandardCompletorModel	net.sourceforge.squirrel_sql.fw.completion.CompletionCandidates getCompletionCandidates(java.lang.String) 	catAndSchemCount	B3	0/21
net.sourceforge.squirrel_sql.plugins.codecompletion.StandardCompletorModel	net.sourceforge.squirrel_sql.fw.completion.CompletionCandidates getCompletionCandidates(java.lang.String) 	catalog	B3	0/21
net.sourceforge.squirrel_sql.plugins.mssql.gui.GenerateSqlDialog	private javax.swing.JPanel buildFormattingPanel() 	c	B1	0/21
net.sourceforge.squirrel_sql.plugins.codecompletion.StandardCompletorModel	net.sourceforge.squirrel_sql.fw.completion.CompletionCandidates getCompletionCandidates(java.lang.String) 	schema	B3	0/21
net.sourceforge.squirrel_sql.plugins.codecompletion.StandardCompletorModel	net.sourceforge.squirrel_sql.fw.completion.CompletionCandidates getCompletionCandidates(java.lang.String) 	schema	B5	0/16
net.sourceforge.squirrel_sql.plugins.laf.LAFFontsTab.FontSelectionPanel	private javax.swing.JPanel createFontsPanel() 	gbc	B1	0/20
net.sourceforge.squirrel_sql.client.preferences.GeneralPreferencesPanel.MyPanel	private javax.swing.JPanel createAppearancePanel() 	gbc	B1	0/19
net.sourceforge.squirrel_sql.plugins.graph.ConstraintView	public void setConnectionPoints(net.sourceforge.squirrel_sql.plugins.graph.ConnectionPoints, net.sourceforge.squirrel_sql.plugins.graph.ConnectionPoints, net.sourceforge.squirrel_sql.plugins.graph.TableFrameController, net.sourceforge.squirrel_sql.plugins.graph.ConstraintViewListener) 	_constraintGraph	B1	0/19
net.sourceforge.squirrel_sql.plugins.graph.ConstraintView	public void setConnectionPoints(net.sourceforge.squirrel_sql.plugins.graph.ConnectionPoints, net.sourceforge.squirrel_sql.plugins.graph.ConnectionPoints, net.sourceforge.squirrel_sql.plugins.graph.TableFrameController, net.sourceforge.squirrel_sql.plugins.graph.ConstraintViewListener) 	_constraintGraph	B3	0/16
net.sourceforge.squirrel_sql.plugins.graph.ConstraintView	public void setConnectionPoints(net.sourceforge.squirrel_sql.plugins.graph.ConnectionPoints, net.sourceforge.squirrel_sql.plugins.graph.ConnectionPoints, net.sourceforge.squirrel_sql.plugins.graph.TableFrameController, net.sourceforge.squirrel_sql.plugins.graph.ConstraintViewListener) 	_constraintGraph	B4	0/9
net.sourceforge.squirrel_sql.plugins.graph.ConstraintView	public void setConnectionPoints(net.sourceforge.squirrel_sql.plugins.graph.ConnectionPoints, net.sourceforge.squirrel_sql.plugins.graph.ConnectionPoints, net.sourceforge.squirrel_sql.plugins.graph.TableFrameController, net.sourceforge.squirrel_sql.plugins.graph.ConstraintViewListener) 	_constraintGraph	B6	0/7
net.sourceforge.squirrel_sql.client.session.mainpanel.ResultTab.QueryInfoPanel	private void createGUI() 	gbc	B1	0/18
net.sourceforge.squirrel_sql.fw.datasetviewer.PopupEditableIOPanel	private javax.swing.JPanel exportImportPanel(boolean) 	gbc	B1	0/18
net.sourceforge.squirrel_sql.plugins.graph.GraphPlugin	public java.lang.String patchName(java.lang.String, net.sourceforge.squirrel_sql.client.session.ISession) 	postfix	B1	0/18
net.sourceforge.squirrel_sql.plugins.sqlval.AppPreferencesPanel	private javax.swing.JPanel createLogonPanel() 	gbc	B1	0/18
net.sourceforge.squirrel_sql.plugins.sqlval.SessionSettingsPanel	private javax.swing.JPanel createDBMSPanel() 	gbc	B1	0/18
net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.ColorPropertiesPanel	private void createUserInterface() 	gbc	B1	0/17
net.sourceforge.squirrel_sql.client.preferences.SQLPreferencesPanel.SQLPrefsPanel	private javax.swing.JPanel createDebugPanel() 	gbc	B1	0/17
