TODO: Also check REG_ANCHORINDEX vs. anchor	IMPLEMENTATION	0.9763562227641314	IMPLEMENTATION	0.023643777235868642	WITHOUT_CLASSIFICATION
skip header bytes maybe should check if they're valid or not?	IMPLEMENTATION	0.9999943233085993	WITHOUT_CLASSIFICATION	5.676691400695867E-6	IMPLEMENTATION
need to add static block here	IMPLEMENTATION	0.9972782104487429	WITHOUT_CLASSIFICATION	0.0027217895512571767	IMPLEMENTATION
Parse the attribute type. [54] AttType ::= StringType | TokenizedType | EnumeratedType [55] StringType ::= 'CDATA' [56] TokenizedType ::= 'ID' | 'IDREF' | 'IDREFS' | 'ENTITY' | 'ENTITIES' | 'NMTOKEN' | 'NMTOKENS' [57] EnumeratedType ::= NotationType | Enumeration TODO: validate the type!!	IMPLEMENTATION	0.5053920698115747	WITHOUT_CLASSIFICATION	0.49460793018842536	IMPLEMENTATION
this convention may change...	IMPLEMENTATION	0.9998986463525821	WITHOUT_CLASSIFICATION	1.0135364741790023E-4	IMPLEMENTATION
Need some format checking here	IMPLEMENTATION	0.9997530853992757	WITHOUT_CLASSIFICATION	2.4691460072442023E-4	IMPLEMENTATION
implement the recursion for getClassImpl()	IMPLEMENTATION	0.9999961283884466	WITHOUT_CLASSIFICATION	3.871611553421345E-6	IMPLEMENTATION
Need to calculate this... just fudging here for now.	IMPLEMENTATION	0.9999952278369878	WITHOUT_CLASSIFICATION	4.772163012244696E-6	IMPLEMENTATION
Need to calculate this... just fudging here for now.	IMPLEMENTATION	0.9999952278369878	WITHOUT_CLASSIFICATION	4.772163012244696E-6	IMPLEMENTATION
Need to calculate this... just fudging here for now.	IMPLEMENTATION	0.9999952278369878	WITHOUT_CLASSIFICATION	4.772163012244696E-6	IMPLEMENTATION
Parse the XML declaration. <pre> [25] XMLDecl ::= '&lt;?xml' VersionInfo EncodingDecl? SDDecl? S? '?&gt;' [26] VersionInfo ::= S 'version' Eq ('"1.0"' | "'1.0'") [33] SDDecl ::= S 'standalone' Eq "'" ('yes' | 'no') "'" | S 'standalone' Eq '"' ("yes" | "no") '"' [78] EncodingDecl ::= S 'encoding' Eq QEncoding </pre> <p>([80] to [82] are also significant.) <p>(The <code>&lt;?xml</code> and whitespace have already been read.) <p>TODO: validate value of standalone. @see #parseTextDecl @see #checkEncoding	IMPLEMENTATION	0.9999984990231301	WITHOUT_CLASSIFICATION	1.5009768698451565E-6	IMPLEMENTATION
