todo also check reg_anchorindex vs. anchor	IMPLEMENTATION	0.7871746711676805	IMPLEMENTATION	0.21282532883231955	WITHOUT_CLASSIFICATION
skip header bytes maybe should check if they're valid or not?	IMPLEMENTATION	0.997727949826038	WITHOUT_CLASSIFICATION	0.0022720501739620165	IMPLEMENTATION
need to add static block here	IMPLEMENTATION	0.9986080296231323	WITHOUT_CLASSIFICATION	0.0013919703768677549	IMPLEMENTATION
parse the attribute type. [54] atttype = stringtype | tokenizedtype | enumeratedtype [55] stringtype = 'cdata' [56] tokenizedtype = 'id' | 'idref' | 'idrefs' | 'entity' | 'entities' | 'nmtoken' | 'nmtokens' [57] enumeratedtype = notationtype | enumeration todo validate the type!!	IMPLEMENTATION	0.6418839271524784	WITHOUT_CLASSIFICATION	0.3581160728475215	IMPLEMENTATION
this convention may change	IMPLEMENTATION	0.9999556741809643	WITHOUT_CLASSIFICATION	4.4325819035577004E-5	IMPLEMENTATION
need some format checking here	IMPLEMENTATION	0.9979282007266431	WITHOUT_CLASSIFICATION	0.002071799273356836	IMPLEMENTATION
implement the recursion for getclassimpl()	IMPLEMENTATION	0.9990957254307551	WITHOUT_CLASSIFICATION	9.042745692449921E-4	IMPLEMENTATION
need to calculate this just fudging here for now.	IMPLEMENTATION	0.9993448670929655	WITHOUT_CLASSIFICATION	6.551329070344119E-4	IMPLEMENTATION
need to calculate this just fudging here for now.	IMPLEMENTATION	0.9993448670929655	WITHOUT_CLASSIFICATION	6.551329070344119E-4	IMPLEMENTATION
need to calculate this just fudging here for now.	IMPLEMENTATION	0.9993448670929655	WITHOUT_CLASSIFICATION	6.551329070344119E-4	IMPLEMENTATION
parse the xml declaration. <pre> [25] xmldecl = '&lt?xml' versioninfo encodingdecl? sddecl? s? '?&gt' [26] versioninfo = s 'version' eq ('"1.0"' | "'1.0'") [33] sddecl = s 'standalone' eq "'" ('yes' | 'no') "'" | s 'standalone' eq '"' ("yes" | "no") '"' [78] encodingdecl = s 'encoding' eq qencoding </pre> <p>([80] to [82] are also significant.) <p>(the <code>&lt?xml</code> and whitespace have already been read.) <p>todo validate value of standalone. @see #parsetextdecl @see #checkencoding	IMPLEMENTATION	0.9999750921871746	WITHOUT_CLASSIFICATION	2.490781282538552E-5	IMPLEMENTATION
parse an element-content model. [42] elements = (choice | seq) ('?' | '' | '+')? [44] cps = s? %cp s? [45] choice = '(' s? %ctokplus (s? '|' s? %ctoks) s? ')' [46] ctokplus = cps ('|' cps)+ [47] ctoks = cps ('|' cps) [48] seq = '(' s? %stoks (s? '' s? %stoks) s? ')' [49] stoks = cps ('' cps) note the opening '(' and s have already been read. todo go over parameter entity boundaries more carefully.	IMPLEMENTATION	0.9920477397079475	WITHOUT_CLASSIFICATION	0.007952260292052548	IMPLEMENTATION
an output stream that compresses into the bzip2 format (without the file header chars) into another stream. todo update to bzip2 1.0.1 @author <a href="mailtokeiron@aftexsw.com">keiron liddle</a>	IMPLEMENTATION	0.8403156584991549	WITHOUT_CLASSIFICATION	0.15968434150084504	IMPLEMENTATION
debug utils are static so that they are reachable by code that doesn'tnecessarily have an interpreter reference (e.g. tracing in utils).in the future we may want to allow debug/trace to be turned on ona per interpreter basis in which case we'll need to use the parent reference in some way to determine the scope of the command that turns it on or off.	IMPLEMENTATION	0.9999371052125914	WITHOUT_CLASSIFICATION	6.289478740867239E-5	IMPLEMENTATION
onlystatic	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
onlystatic	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
doing instanceof? next node is a type.	WITHOUT_CLASSIFICATION	0.9999971613663263	WITHOUT_CLASSIFICATION	2.83863367370225E-6	IMPLEMENTATION
{{{ inner classes	WITHOUT_CLASSIFICATION	0.9999662400515654	WITHOUT_CLASSIFICATION	3.375994843460915E-5	IMPLEMENTATION
{{{ parentdirectoryrenderer class	WITHOUT_CLASSIFICATION	0.9999952627756348	WITHOUT_CLASSIFICATION	4.73722436523808E-6	IMPLEMENTATION
{{{ tablemousehandler class	WITHOUT_CLASSIFICATION	0.9999963079983262	WITHOUT_CLASSIFICATION	3.6920016739407703E-6	IMPLEMENTATION
{{{ mouseclicked() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
install man page	WITHOUT_CLASSIFICATION	0.9999848115670625	WITHOUT_CLASSIFICATION	1.5188432937466136E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
can't happen	WITHOUT_CLASSIFICATION	0.9999873984950032	WITHOUT_CLASSIFICATION	1.2601504996746384E-5	IMPLEMENTATION
set proxy authentication	WITHOUT_CLASSIFICATION	0.9999959615785731	WITHOUT_CLASSIFICATION	4.038421426944898E-6	IMPLEMENTATION
{{{ autodetect() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
file does not begin with utf-8-y signature. reset stream read as utf-8.	WITHOUT_CLASSIFICATION	0.9998943873622749	WITHOUT_CLASSIFICATION	1.0561263772510068E-4	IMPLEMENTATION
determine whether we are dealing with a one- two- three- or four- byte sequence.	WITHOUT_CLASSIFICATION	0.9999998705736703	WITHOUT_CLASSIFICATION	1.294263296707342E-7	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
{{{ insidecompoundedit() method	WITHOUT_CLASSIFICATION	0.9999672128435833	WITHOUT_CLASSIFICATION	3.278715641680648E-5	IMPLEMENTATION
1-byte sequence 000000000xxxxxxx = 0xxxxxxx	WITHOUT_CLASSIFICATION	0.9999596918277087	WITHOUT_CLASSIFICATION	4.030817229132661E-5	IMPLEMENTATION
null object ref is not instance of any type	WITHOUT_CLASSIFICATION	0.9999521995217693	WITHOUT_CLASSIFICATION	4.780047823077289E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
{{{ getname() method	WITHOUT_CLASSIFICATION	0.9999655099563945	WITHOUT_CLASSIFICATION	3.449004360554246E-5	IMPLEMENTATION
{{{ getdocument() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
{{{ getparentelement() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
{{{ getattributes() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
{{{ ensurecapacity() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
{{{ rootelement constructor	WITHOUT_CLASSIFICATION	0.9999512672394116	WITHOUT_CLASSIFICATION	4.873276058839739E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
{{{ getstartoffset() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
{{{ getendoffset() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
{{{ getelementindex() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
no super method try to invoke regular method could be a superfluous "super." which is legal.	WITHOUT_CLASSIFICATION	0.9998911387894647	WITHOUT_CLASSIFICATION	1.0886121053524492E-4	IMPLEMENTATION
local variables.	WITHOUT_CLASSIFICATION	0.9999910689994588	WITHOUT_CLASSIFICATION	8.931000541212362E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
{{{ loadclass() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
{{{ getzipfile() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
defer to whoever loaded us (such as jshell echidna etc)	WITHOUT_CLASSIFICATION	0.9999959532607448	WITHOUT_CLASSIFICATION	4.046739255289178E-6	IMPLEMENTATION
remember that this class doesn't exist for future reference	WITHOUT_CLASSIFICATION	0.9999291548417031	WITHOUT_CLASSIFICATION	7.0845158296856E-5	IMPLEMENTATION
{{{ getresourceasstream() method	WITHOUT_CLASSIFICATION	0.9999672128435833	WITHOUT_CLASSIFICATION	3.278715641680648E-5	IMPLEMENTATION
{{{ getresource() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
{{{ getresourceaspath() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
{{{ dump() method	WITHOUT_CLASSIFICATION	0.9999655099563945	WITHOUT_CLASSIFICATION	3.449004360554246E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
{{{ package-private members	WITHOUT_CLASSIFICATION	0.999980672671971	WITHOUT_CLASSIFICATION	1.9327328029020657E-5	IMPLEMENTATION
{{{ jarclassloader constructor	WITHOUT_CLASSIFICATION	0.9999512672394116	WITHOUT_CLASSIFICATION	4.873276058839739E-5	IMPLEMENTATION
{{{ finalize() method	WITHOUT_CLASSIFICATION	0.999975268546005	WITHOUT_CLASSIFICATION	2.473145399491982E-5	IMPLEMENTATION
{{{ activate() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
{{{ deactivate() method	WITHOUT_CLASSIFICATION	0.9999744468540599	WITHOUT_CLASSIFICATION	2.555314594014961E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999918009019932	WITHOUT_CLASSIFICATION	8.199098006711576E-6	IMPLEMENTATION
{{{ private members	WITHOUT_CLASSIFICATION	0.9999960375410093	WITHOUT_CLASSIFICATION	3.962458990673172E-6	IMPLEMENTATION
boolean	WITHOUT_CLASSIFICATION	0.9999968960252184	WITHOUT_CLASSIFICATION	3.103974781596042E-6	IMPLEMENTATION
boolean	WITHOUT_CLASSIFICATION	0.9999968960252184	WITHOUT_CLASSIFICATION	3.103974781596042E-6	IMPLEMENTATION
