TODO: Also check REG_ANCHORINDEX vs. anchor	IMPLEMENTATION	0.9047771807315601	IMPLEMENTATION	0.0952228192684399	WITHOUT_CLASSIFICATION
skip header bytes maybe should check if they're valid or not?	IMPLEMENTATION	0.9990219179711126	WITHOUT_CLASSIFICATION	9.780820288873477E-4	IMPLEMENTATION
need to add static block here	IMPLEMENTATION	0.9949321233756426	WITHOUT_CLASSIFICATION	0.005067876624357354	IMPLEMENTATION
Parse the attribute type. [54] AttType ::= StringType | TokenizedType | EnumeratedType [55] StringType ::= 'CDATA' [56] TokenizedType ::= 'ID' | 'IDREF' | 'IDREFS' | 'ENTITY' | 'ENTITIES' | 'NMTOKEN' | 'NMTOKENS' [57] EnumeratedType ::= NotationType | Enumeration TODO: validate the type!!	IMPLEMENTATION	0.6065802015248103	WITHOUT_CLASSIFICATION	0.39341979847518976	IMPLEMENTATION
this convention may change...	IMPLEMENTATION	0.9998249776783864	WITHOUT_CLASSIFICATION	1.750223216137123E-4	IMPLEMENTATION
Need some format checking here	IMPLEMENTATION	0.9961042569636027	WITHOUT_CLASSIFICATION	0.003895743036397384	IMPLEMENTATION
implement the recursion for getClassImpl()	IMPLEMENTATION	0.9987391201081096	WITHOUT_CLASSIFICATION	0.0012608798918904043	IMPLEMENTATION
Need to calculate this... just fudging here for now.	IMPLEMENTATION	0.9975025511748059	WITHOUT_CLASSIFICATION	0.0024974488251941025	IMPLEMENTATION
Need to calculate this... just fudging here for now.	IMPLEMENTATION	0.9975025511748059	WITHOUT_CLASSIFICATION	0.0024974488251941025	IMPLEMENTATION
Need to calculate this... just fudging here for now.	IMPLEMENTATION	0.9975025511748059	WITHOUT_CLASSIFICATION	0.0024974488251941025	IMPLEMENTATION
Parse the XML declaration. <pre> [25] XMLDecl ::= '&lt;?xml' VersionInfo EncodingDecl? SDDecl? S? '?&gt;' [26] VersionInfo ::= S 'version' Eq ('"1.0"' | "'1.0'") [33] SDDecl ::= S 'standalone' Eq "'" ('yes' | 'no') "'" | S 'standalone' Eq '"' ("yes" | "no") '"' [78] EncodingDecl ::= S 'encoding' Eq QEncoding </pre> <p>([80] to [82] are also significant.) <p>(The <code>&lt;?xml</code> and whitespace have already been read.) <p>TODO: validate value of standalone. @see #parseTextDecl @see #checkEncoding	IMPLEMENTATION	0.9999944305540018	WITHOUT_CLASSIFICATION	5.56944599824097E-6	IMPLEMENTATION
Parse an element-content model. [42] elements ::= (choice | seq) ('?' | '' | '+')? [44] cps ::= S? %cp S? [45] choice ::= '(' S? %ctokplus (S? '|' S? %ctoks) S? ')' [46] ctokplus ::= cps ('|' cps)+ [47] ctoks ::= cps ('|' cps) [48] seq ::= '(' S? %stoks (S? ',' S? %stoks) S? ')' [49] stoks ::= cps (',' cps) NOTE: the opening '(' and S have already been read. TODO: go over parameter entity boundaries more carefully.	IMPLEMENTATION	0.9209831095800415	WITHOUT_CLASSIFICATION	0.07901689041995855	IMPLEMENTATION
An output stream that compresses into the BZip2 format (without the file header chars) into another stream. TODO: Update to BZip2 1.0.1 @author <a href="mailto:keiron@aftexsw.com">Keiron Liddle</a>	IMPLEMENTATION	0.6433134256657831	WITHOUT_CLASSIFICATION	0.3566865743342169	IMPLEMENTATION
Debug utils are static so that they are reachable by code that doesn'tnecessarily have an interpreter reference (e.g. tracing in utils).In the future we may want to allow debug/trace to be turned on ona per interpreter basis, in which case we'll need to use the parent reference in some way to determine the scope of the command that turns it on or off.	IMPLEMENTATION	0.9999619969025207	WITHOUT_CLASSIFICATION	3.800309747930252E-5	IMPLEMENTATION
onlyStatic	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
onlyStatic	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
Doing instanceof? Next node is a type.	WITHOUT_CLASSIFICATION	0.9999922191241698	WITHOUT_CLASSIFICATION	7.78087583024392E-6	IMPLEMENTATION
{{{ Inner classes	WITHOUT_CLASSIFICATION	0.9999124045789332	WITHOUT_CLASSIFICATION	8.759542106676356E-5	IMPLEMENTATION
{{{ ParentDirectoryRenderer class	WITHOUT_CLASSIFICATION	0.9999865974218403	WITHOUT_CLASSIFICATION	1.3402578159741287E-5	IMPLEMENTATION
{{{ TableMouseHandler class	WITHOUT_CLASSIFICATION	0.9999897821592673	WITHOUT_CLASSIFICATION	1.0217840732755267E-5	IMPLEMENTATION
{{{ mouseClicked() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
install man page	WITHOUT_CLASSIFICATION	0.9999668764128428	WITHOUT_CLASSIFICATION	3.312358715736225E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
can't happen	WITHOUT_CLASSIFICATION	0.9999838353474451	WITHOUT_CLASSIFICATION	1.6164652554959917E-5	IMPLEMENTATION
set proxy authentication	WITHOUT_CLASSIFICATION	0.9999845010092722	WITHOUT_CLASSIFICATION	1.549899072783862E-5	IMPLEMENTATION
{{{ autodetect() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
file does not begin with UTF-8-Y signature. reset stream, read as UTF-8.	WITHOUT_CLASSIFICATION	0.9998651957472845	WITHOUT_CLASSIFICATION	1.3480425271559718E-4	IMPLEMENTATION
Determine whether we are dealing with a one-, two-, three-, or four- byte sequence.	WITHOUT_CLASSIFICATION	0.999998084250507	WITHOUT_CLASSIFICATION	1.9157494930189765E-6	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
{{{ insideCompoundEdit() method	WITHOUT_CLASSIFICATION	0.9998467907577586	WITHOUT_CLASSIFICATION	1.5320924224134657E-4	IMPLEMENTATION
1-byte sequence: 000000000xxxxxxx = 0xxxxxxx	WITHOUT_CLASSIFICATION	0.9998973672703987	WITHOUT_CLASSIFICATION	1.0263272960141615E-4	IMPLEMENTATION
null object ref is not instance of any type	WITHOUT_CLASSIFICATION	0.9996257632800798	WITHOUT_CLASSIFICATION	3.742367199202932E-4	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
{{{ getName() method	WITHOUT_CLASSIFICATION	0.9998413959544424	WITHOUT_CLASSIFICATION	1.586040455574604E-4	IMPLEMENTATION
{{{ getDocument() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ getParentElement() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ getAttributes() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ ensureCapacity() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ RootElement constructor	WITHOUT_CLASSIFICATION	0.9999196979969044	WITHOUT_CLASSIFICATION	8.030200309560852E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
{{{ getStartOffset() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ getEndOffset() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ getElementIndex() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
No super method, try to invoke regular method could be a superfluous "super." which is legal.	WITHOUT_CLASSIFICATION	0.9999314230046281	WITHOUT_CLASSIFICATION	6.857699537189015E-5	IMPLEMENTATION
Local Variables.	WITHOUT_CLASSIFICATION	0.9999476110931862	WITHOUT_CLASSIFICATION	5.238890681384942E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
{{{ loadClass() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ getZipFile() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
Defer to whoever loaded us (such as JShell, Echidna, etc)	WITHOUT_CLASSIFICATION	0.9999888263695597	WITHOUT_CLASSIFICATION	1.1173630440357843E-5	IMPLEMENTATION
remember that this class doesn't exist for future reference	WITHOUT_CLASSIFICATION	0.9999374025797122	WITHOUT_CLASSIFICATION	6.259742028776089E-5	IMPLEMENTATION
{{{ getResourceAsStream() method	WITHOUT_CLASSIFICATION	0.9998467907577586	WITHOUT_CLASSIFICATION	1.5320924224134657E-4	IMPLEMENTATION
{{{ getResource() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ getResourceAsPath() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
{{{ dump() method	WITHOUT_CLASSIFICATION	0.9998413959544424	WITHOUT_CLASSIFICATION	1.586040455574604E-4	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
{{{ Package-private members	WITHOUT_CLASSIFICATION	0.9999626703614253	WITHOUT_CLASSIFICATION	3.732963857473197E-5	IMPLEMENTATION
{{{ JARClassLoader constructor	WITHOUT_CLASSIFICATION	0.9999196979969044	WITHOUT_CLASSIFICATION	8.030200309560852E-5	IMPLEMENTATION
{{{ finalize() method	WITHOUT_CLASSIFICATION	0.9998833387540658	WITHOUT_CLASSIFICATION	1.166612459342998E-4	IMPLEMENTATION
{{{ activate() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ deactivate() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
{{{ Private members	WITHOUT_CLASSIFICATION	0.9999633487586582	WITHOUT_CLASSIFICATION	3.665124134180589E-5	IMPLEMENTATION
boolean	WITHOUT_CLASSIFICATION	0.999987273836475	WITHOUT_CLASSIFICATION	1.2726163524950011E-5	IMPLEMENTATION
boolean	WITHOUT_CLASSIFICATION	0.999987273836475	WITHOUT_CLASSIFICATION	1.2726163524950011E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
{{{ _loadClass() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ ServiceListHandler constructor	WITHOUT_CLASSIFICATION	0.9998946714485493	WITHOUT_CLASSIFICATION	1.0532855145080331E-4	IMPLEMENTATION
{{{ resolveEntity() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
{{{ attribute() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ doctypeDecl() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
}}}	WITHOUT_CLASSIFICATION	0.9999698998610058	WITHOUT_CLASSIFICATION	3.0100138994145163E-5	IMPLEMENTATION
{{{ getElementCount() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ charData() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ startElement() method	WITHOUT_CLASSIFICATION	0.9998831926494867	WITHOUT_CLASSIFICATION	1.168073505133804E-4	IMPLEMENTATION
{{{ Private members	WITHOUT_CLASSIFICATION	0.9999633487586582	WITHOUT_CLASSIFICATION	3.665124134180589E-5	IMPLEMENTATION
