id,comment,sultan,everton
5,// we don't expect to find this,DESIGN,WITHOUT_CLASSIFICATION
7,// tell the build it is finished,DESIGN,WITHOUT_CLASSIFICATION
11,// keep track of what operating systems are supported here.,IMPLEMENTATION,WITHOUT_CLASSIFICATION
12,// father and child pattern test,TEST,WITHOUT_CLASSIFICATION
13,"// redo the test, but the 2 include patterns are inverted",TEST,WITHOUT_CLASSIFICATION
14,// add conditions and more commands as soon as the need arises,IMPLEMENTATION,WITHOUT_CLASSIFICATION
15,// give ourselves some time for the system call // to execute... tweak if you have a really over // loaded system.,IMPLEMENTATION,WITHOUT_CLASSIFICATION
18,"// followLinks should be true by default, but if this ever // changes we will need this line.",DESIGN,WITHOUT_CLASSIFICATION
27,//testing drive letter search from root:,TEST,WITHOUT_CLASSIFICATION
28,//if this is our context we assume there must be something here:,DESIGN,WITHOUT_CLASSIFICATION
29,// This path should contain the class files for these testcases:,TEST,WITHOUT_CLASSIFICATION
30,// A special parent loader which is not the system class loader:,IMPLEMENTATION,WITHOUT_CLASSIFICATION
31,// An AntClassLoader which is supposed to delegate to // the parent and then to the disk path:,DESIGN,WITHOUT_CLASSIFICATION
34,// A special parent loader which is not the system class loader:,DESIGN,WITHOUT_CLASSIFICATION
37,// ensure <tstamp>'s new prefix attribute is working,IMPLEMENTATION,WITHOUT_CLASSIFICATION
38,// ensure <tstamp> follows the immutability rule,IMPLEMENTATION,WITHOUT_CLASSIFICATION
39,// ensure <condition> follows the immutability rule,IMPLEMENTATION,WITHOUT_CLASSIFICATION
40,// ensure <checksum> follows the immutability rule,IMPLEMENTATION,WITHOUT_CLASSIFICATION
41,// ensure <exec> follows the immutability rule,IMPLEMENTATION,WITHOUT_CLASSIFICATION
42,// ensure <pathconvert> follows the immutability rule,IMPLEMENTATION,WITHOUT_CLASSIFICATION
43,"/*
             * throw in drive letters
             */",IMPLEMENTATION,WITHOUT_CLASSIFICATION
44,"/*
             * promised to eliminate consecutive slashes after drive letter.
             */",IMPLEMENTATION,WITHOUT_CLASSIFICATION
46,"/*
             * drive letters are not used, just to be considered as normal
             * part of a name
             */",IMPLEMENTATION,WITHOUT_CLASSIFICATION
47,"/*
         * Now test some relative file name magic.
         */",TEST,WITHOUT_CLASSIFICATION
48,"// fail, because buildfile contains two targets with the same name",DEFECT,WITHOUT_CLASSIFICATION
49,// overriding target from imported buildfile is allowed,IMPLEMENTATION,WITHOUT_CLASSIFICATION
68,"/*
         * JUnit 3.7 adds a getName method to TestCase - so we now
         * have a name attribute in IntrospectionHelperTest if we run
         * under JUnit 3.7 but not in earlier versions.
         *
         * Simply add it here and remove it after the tests.
         */",TEST,WITHOUT_CLASSIFICATION
79,// addConfigured(Hashtable) should come before addConfigured(Map),IMPLEMENTATION,WITHOUT_CLASSIFICATION
90,// make sure we do not get a NPE,TEST,WITHOUT_CLASSIFICATION
91,// use an anonymous subclass since ProjectComponent is abstract,IMPLEMENTATION,WITHOUT_CLASSIFICATION
96,"/* I wrote the testcases in one java file because I want also to test the
 * combined behaviour (see end of the class).
*/",TEST,WITHOUT_CLASSIFICATION
105,// check attribute overrides build.compiler,IMPLEMENTATION,WITHOUT_CLASSIFICATION
106,"// some database keys, see #getProperties(int)",IMPLEMENTATION,WITHOUT_CLASSIFICATION
107,// keys used in properties.,DESIGN,WITHOUT_CLASSIFICATION
109,// simple test to ensure that the caching does work...,TEST,WITHOUT_CLASSIFICATION
111,// the driver must still be cached.,IMPLEMENTATION,WITHOUT_CLASSIFICATION
114,// look for the driver path...,DESIGN,WITHOUT_CLASSIFICATION
134,//file length checks rely on touch generating a zero byte file,IMPLEMENTATION,WITHOUT_CLASSIFICATION
136,// no-op: not a real business error,DESIGN,WITHOUT_CLASSIFICATION
138,// AntLikeTasksAtTopLevelTest,TEST,WITHOUT_CLASSIFICATION
152,// can't access the booleans in MyPrinter here (even if they // were static) since the MyPrinter instance that was used in // the test has likely been loaded via a different classloader // than this class.  Therefore we make the printer assert its // state and only check for the tail invocation.,TEST,WITHOUT_CLASSIFICATION
157,"// not used, but public so theoretically must remain for BC?",WITHOUT_CLASSIFICATION,DESIGN
158,// should get no output at all,IMPLEMENTATION,WITHOUT_CLASSIFICATION
159,// should get no output at all,IMPLEMENTATION,WITHOUT_CLASSIFICATION
160,// should get no output at all,IMPLEMENTATION,WITHOUT_CLASSIFICATION
161,// should get no output at all,IMPLEMENTATION,WITHOUT_CLASSIFICATION
163,//this call should succeed as unless overrides if,IMPLEMENTATION,WITHOUT_CLASSIFICATION
164,// test that the watchdog ends the process,TEST,WITHOUT_CLASSIFICATION
165,// test that the watchdog ends the process,TEST,WITHOUT_CLASSIFICATION
168,// target must be specified,IMPLEMENTATION,WITHOUT_CLASSIFICATION
169,// Should fail since a recursion will occur...,DEFECT,WITHOUT_CLASSIFICATION
170,// a rather convoluted equals() test,TEST,WITHOUT_CLASSIFICATION
172,"// <path> swallows the basedir, it seems //assertTrue(!getProject().resolveFile(""A"").exists());",IMPLEMENTATION,WITHOUT_CLASSIFICATION
174,// allow this as imported in targets are only tested when a target is run,IMPLEMENTATION,WITHOUT_CLASSIFICATION
176,"// Running on Windows or something, so skip it.",IMPLEMENTATION,WITHOUT_CLASSIFICATION
182,// remove log file from testSpawn,IMPLEMENTATION,WITHOUT_CLASSIFICATION
183,// this is guaranteed by FileUtils#createTempFile,DESIGN,WITHOUT_CLASSIFICATION
186,"//executeTarget(""setup""); //commented out for performance while target is empty",DESIGN,WITHOUT_CLASSIFICATION
188,// target // file // exptected string,IMPLEMENTATION,WITHOUT_CLASSIFICATION
191,// *************  copied from ConcatTest  *************,WITHOUT_CLASSIFICATION,DESIGN
198,// test that the watchdog ends the process,TEST,WITHOUT_CLASSIFICATION
200,// test a process that runs and failed,TEST,WITHOUT_CLASSIFICATION
201,// process should abort,DESIGN,WITHOUT_CLASSIFICATION
202,// I assume that starting this takes less than TIME_OUT/2 ms...,IMPLEMENTATION,WITHOUT_CLASSIFICATION
203,// not very nice but will do the job,IMPLEMENTATION,DESIGN
204,"// wait for TIME_OUT/2, there should be about TIME_OUT/2 ms remaining before timeout",DESIGN,WITHOUT_CLASSIFICATION
205,// now stop the watchdog.,DESIGN,WITHOUT_CLASSIFICATION
206,"// wait for the thread to die, should be the end of the process",DESIGN,WITHOUT_CLASSIFICATION
207,// process should be dead and well finished,DESIGN,WITHOUT_CLASSIFICATION
214,// We have to compare the decompressed content instead:,DESIGN,WITHOUT_CLASSIFICATION
220,//no point in setting a message,IMPLEMENTATION,WITHOUT_CLASSIFICATION
221,// this is guaranteed by FileUtils#createTempFile,IMPLEMENTATION,WITHOUT_CLASSIFICATION
222,// make the spawned process run 4 seconds,IMPLEMENTATION,WITHOUT_CLASSIFICATION
223,// this loop runs parallel to the build,DESIGN,WITHOUT_CLASSIFICATION
227,//borrowed from TokenFilterTest,IMPLEMENTATION,DESIGN
228,// Nothing specified -> Fail,DESIGN,WITHOUT_CLASSIFICATION
229,// Only property specified -> Fail,DESIGN,WITHOUT_CLASSIFICATION
230,// Only file specified -> Fail,DESIGN,WITHOUT_CLASSIFICATION
232,// file does exist -> property 'test' == 'true',DESIGN,WITHOUT_CLASSIFICATION
233,// resource doesn't exist -> property 'test' == null,DESIGN,WITHOUT_CLASSIFICATION
234,// resource does exist -> property 'test' == 'true',DESIGN,WITHOUT_CLASSIFICATION
235,// class doesn't exist -> property 'test' == null,DESIGN,WITHOUT_CLASSIFICATION
236,// class does exist -> property 'test' == 'true',DESIGN,WITHOUT_CLASSIFICATION
238,// All three specified but class missing -> null,IMPLEMENTATION,WITHOUT_CLASSIFICATION
239,"// Specified property-name is """" -> true",IMPLEMENTATION,WITHOUT_CLASSIFICATION
240,"// Specified file is """" -> invalid files do not exist",IMPLEMENTATION,WITHOUT_CLASSIFICATION
241,"// Specified file is """" actually a directory, so it should pass",IMPLEMENTATION,WITHOUT_CLASSIFICATION
242,"// Specified resource is """" -> can such a thing exist?",IMPLEMENTATION,WITHOUT_CLASSIFICATION
249,"// Specified dir is """" -> this is the current directory and should // always exist",IMPLEMENTATION,WITHOUT_CLASSIFICATION
251,"// Specified dir is ""../taskdefs"" -> should exist since it's the // location of the buildfile used...",IMPLEMENTATION,WITHOUT_CLASSIFICATION
253,"// Specified dir is ""../this_dir_should_never_exist"" -> null",IMPLEMENTATION,WITHOUT_CLASSIFICATION
254,// Invalid type specified,DESIGN,WITHOUT_CLASSIFICATION
261,// File is not found in specified filepath,IMPLEMENTATION,WITHOUT_CLASSIFICATION
262,// test when file begins with basedir twice,TEST,WITHOUT_CLASSIFICATION
263,// test for searching parents,TEST,WITHOUT_CLASSIFICATION
264,// test for not searching parents,TEST,WITHOUT_CLASSIFICATION
265,"// We keep this, so we have something to delete in later tests :-)",TEST,DESIGN
295,// Set a property on the project to make sure that loading // a property with the same name from an xml file will // *not* change it.,IMPLEMENTATION,WITHOUT_CLASSIFICATION
299,// Every key identified by the Properties must have been loaded.,DESIGN,WITHOUT_CLASSIFICATION
309,// Substitute .xml with .properties,IMPLEMENTATION,WITHOUT_CLASSIFICATION
310,// target must be specified,DESIGN,WITHOUT_CLASSIFICATION
311,// basedir of subant/subant-test1/subant.xml is .. // therefore we expect here the subant/subant-test1 subdirectory,IMPLEMENTATION,WITHOUT_CLASSIFICATION
319,// make sure that the parsing does not break,DESIGN,WITHOUT_CLASSIFICATION
322,"// Tests property element, using XML schema properties as an example.",TEST,WITHOUT_CLASSIFICATION
327,// override some of the code so we can test the handling of the // return code only.,IMPLEMENTATION,WITHOUT_CLASSIFICATION
357,"/**
 * Tests the {@link XSLTProcess} task.
 * XXX merge with {@link StyleTest}?
 * @since Ant 1.5
 */",TEST,WITHOUT_CLASSIFICATION
360,// avoid endless loop,IMPLEMENTATION,WITHOUT_CLASSIFICATION
